dataset,horizon,seed,b_mse,p_mse,c_mse,pc_mse,b_mae,p_mae,c_mae,pc_mae,periodic_without_memory_mse_pct,periodic_with_memory_mse_pct,memory_without_periodic_mse_pct,memory_with_periodic_mse_pct,factorial_interaction_mse,full_vs_best_single_mse_pct,periodic_without_memory_mae_pct,periodic_with_memory_mae_pct,memory_without_periodic_mae_pct,memory_with_periodic_mae_pct,factorial_interaction_mae,full_vs_best_single_mae_pct
ETTh1,192,2021,1.0050313941782494,0.985598815397534,0.9674951401044615,0.9572205003002978,0.6583125828772012,0.6511581678920294,0.6542039133967089,0.6489601747122727,1.9335295288565737,1.0619836088328352,3.734833985407882,2.8792967943848455,-0.009157938976551705,1.0619836088328352,1.0867808350104602,0.801544988810908,0.6241213653451737,0.3375513489867057,-0.0019106763007356031,0.3375513489867057
ETTh1,192,2022,0.999177289457905,0.991083544350964,0.9687365455737554,0.9633955092251857,0.6575318539165197,0.654114206030327,0.6558988748124251,0.6520295641083615,0.8100409399148907,0.5513404416271304,3.046580842591497,2.79371353541245,-0.002752708758371303,0.5513404416271304,0.5197691740462209,0.5899248882185002,0.24834980911842916,0.3186969343804154,0.00045166281787090146,0.3186969343804154
ETTh1,192,2023,0.9980832434829555,0.994692850578192,0.965605459703191,0.9658069494740883,0.6550675735510112,0.6538537261940733,0.6530682986449169,0.6523814295001479,0.33969039425331304,-0.020866676847417966,3.2540155334567684,2.9040020833881544,-0.0035918826756606848,-0.020866676847417966,0.1853010904444248,0.10517569849803261,0.3052013237743662,0.22517218071010237,-0.0005269782121689603,0.10517569849803261
ETTh1,720,2021,1.5840678006076332,1.5610509032781708,1.4783041114168558,1.4632098966596703,0.851281619298045,0.8482001504736747,0.8320478836189246,0.8306601209011388,1.4530247581974318,1.0210493660007975,6.676714794038958,6.267637167566837,-0.007922682572276907,1.0210493660007975,0.36197995522460147,0.16678880447958996,2.2593857594364986,2.0679116317935913,-0.0016937061065847026,0.16678880447958996
ETTh1,720,2022,1.6349037624386675,1.5959735523952756,1.5389565122357558,1.513850553163769,0.8783205563841879,0.8639808669411483,0.8515927466604508,0.8401862107421058,2.381192761176508,1.6313624766117394,5.868678781422226,5.145636599569867,-0.01382425097140505,1.6313624766117394,1.6326259631304014,1.3394355415867703,3.043058656598953,2.7540721223706623,-0.0029331535246945872,1.3394355415867703
ETTh1,720,2023,1.6107489875650052,1.5619968740933248,1.5162816251799578,1.504247789720643,0.8558936299688104,0.8471234792529729,0.8426899882212545,0.8368939119276239,3.0266735442981556,0.7936411850856916,5.864809670180528,3.697131878461841,-0.036718278012365824,0.7936411850856916,1.0246776478704502,0.6878064738688762,1.5426732113939197,1.2075650806385292,-0.002974074422206874,0.6878064738688762
ETTh2,192,2021,0.2719751798120101,0.27495140729925555,0.2856166419296563,0.2936170719747755,0.35566811535491805,0.3560831456219093,0.37020302318746,0.37212899367546554,-1.0943011378106782,-2.8011078034765187,-5.0157011117982275,-6.788713998180901,-0.00502420255787378,-6.788713998180901,-0.11669032141863218,-0.5202470988548001,-4.086649099269894,-4.506208241204934,-0.001510940221014223,-4.506208241204934
ETTh2,192,2022,0.27437710077619176,0.2705712430686433,0.2930270309359071,0.2812528249660921,0.35287142089563805,0.35066608327607446,0.3713082268428527,0.3651711291361962,1.3870901386383954,4.018129635415896,-6.797189017216128,-3.9477890467239867,0.007968348262266556,-3.9477890467239867,0.6249691782820311,1.6528310613634398,-5.224794317550397,-4.136426803701494,0.003931760087092839,-4.136426803701494
ETTh2,192,2023,0.26995670811695816,0.2728688538250767,0.27726823033980647,0.29195523590926636,0.356995393007629,0.3529629709954137,0.36562377157749876,0.37220045600192203,-1.0787454508657217,-5.297038738069709,-2.7084054602120164,-6.9947089294496925,-0.011774859861341358,-6.9947089294496925,1.1295445518898186,-1.7987573390121487,-2.4169439547040223,-5.4502841905074275,-0.010609106436638593,-5.4502841905074275
ETTh2,720,2021,0.6139775917199654,0.6027616369483741,0.6387785043948504,0.6144282046984834,0.5447709996336573,0.5382490128141917,0.562516993706755,0.5505642669552878,1.8267694005202058,3.8120098796116193,-4.0393840116231345,-1.9355192890466655,0.013134344924775831,-1.9355192890466655,1.1971978728404107,2.1248650058914045,-3.2575144574566934,-2.2880216865994454,0.005430739932001494,-2.2880216865994454
ETTh2,720,2022,0.6204139231847442,0.6158340008587019,0.6491736005810527,0.6488367886271237,0.5471421306548996,0.5427317960681737,0.5654212799512737,0.5647058377955532,0.7382043108466038,0.05188318712090497,-4.63556285917596,-5.359039566247338,-0.0042431103721132235,-5.359039566247338,0.8060674438371203,0.12653258394911443,-3.3408411219393637,-4.048784664279976,-0.003694892431005403,-4.048784664279976
ETTh2,720,2023,0.6067985299694072,0.6016417924879538,0.6278048847879619,0.6099941602648502,0.5432540539720873,0.5357574887222213,0.5597739077374067,0.5476341501473864,0.8498269568506347,2.8369840621942926,-3.461833505037298,-1.3882625644001685,0.01265398704165821,-1.3882625644001685,1.3799372862574442,2.1686894337553007,-3.0409075909386942,-2.2167980243245604,0.004643192340154423,-2.2167980243245604
