dataset,pred_len,base_mse,base_mae,corrected_mse,corrected_mae,mse_improvement_pct,mae_improvement_pct,alpha,memory_tokens,fit_split,evaluation_split,test_accessed,checkpoint
ETTm1,720,0.9635514032587004,0.6564324670986886,0.9517442747851463,0.6473999237812159,1.2253760861768974,1.3760049616977352,"[0.6893324573955484, 0.7823934992909822, 0.6801821367855175, 0.7504735283846248, 0.345289073030336, 0.8043642873819785, 0.9775031681997834]",15,train,val,False,/home/cwh/Time-Series-Library/checkpoints/long_term_forecast_ETTm1_96_720_ettm1_p720_s2021_baseline_frozen_GraphMamba_ETTm1_ftM_sl96_ll48_pl720_dm64_nh8_el1_dl1_df128_expand2_dc2_fc1_ebtimeF_dtTrue_ettm1_p720_s2021_baseline_frozen_0_patch4_st2_ds32_mv1_bi1_ga0.5_gk2/checkpoint.pth
ETTm2,720,0.296034268010577,0.3739444277910316,0.2878797158951883,0.37183184865947894,2.754597354620229,0.5649446748096119,"[0.8924836506582144, 0.9725144481331457, 0.9381906894831419, 0.9916149646177728, 0.9823994755483219, 0.9715625636995421, 0.9842476643790667]",15,train,val,False,/home/cwh/Time-Series-Library/checkpoints/long_term_forecast_ETTm2_96_720_ettm2_p720_s2021_baseline_frozen_GraphMamba_ETTm2_ftM_sl96_ll48_pl720_dm64_nh8_el1_dl1_df128_expand2_dc2_fc1_ebtimeF_dtTrue_ettm2_p720_s2021_baseline_frozen_0_patch4_st2_ds32_mv1_bi1_ga0.5_gk2/checkpoint.pth
