dataset,horizon,origin,model,window_mae_original_scale,window_rmse_original_scale
ETTm1,96,1065,TimeRole,1.4736667970816295,1.8294901612990548
ETTm1,96,1065,RGSP-96,1.583334853251775,2.000032500603127
ETTm1,720,1065,TimeRole,1.39904981719123,1.730405072613165
ETTm1,720,1065,RGSP-96,1.4889079040951199,1.9073032982328988
ETTh1,96,895,TimeRole,1.1211402341723442,1.2929593742354877
ETTh1,96,895,DLinear,1.650353228052457,1.8414185162445889
ETTh1,720,895,TimeRole,1.36923601268943,1.7676274190887766
ETTh1,720,895,DLinear,4.314880379099473,4.687002858589191
