panel,dataset,horizon,setting,test_mse,test_mae,parameter_count,seed_count,baseline_mse,baseline_mae,baseline_parameter_count,mse_change_pct,mae_change_pct,parameter_change_pct
pooling_width,ETTm1,96,8,0.3017446610155046,0.35464630651969203,1004493.0,3,0.2980809865980488,0.35206386011996865,1004013.0,1.229086920057787,0.7335164702345187,0.047808145910455124
pooling_width,ETTm2,96,8,0.17465051090028746,0.2634099774567516,1004493.0,3,0.175459243027235,0.2638671479644675,1004013.0,-0.4609230685111321,-0.1732578349531555,0.047808145910455124
pooling_width,ETTm1,96,16,0.2980809865980488,0.35206386011996865,1004013.0,3,0.2980809865980488,0.35206386011996865,1004013.0,0.0,0.0,0.0
pooling_width,ETTm2,96,16,0.175459243027235,0.2638671479644675,1004013.0,3,0.175459243027235,0.2638671479644675,1004013.0,0.0,0.0,0.0
pooling_width,ETTm1,96,24,0.2997186374167446,0.3532477984120848,1003853.0,3,0.2980809865980488,0.35206386011996865,1004013.0,0.5493979463051302,0.33628509660512673,-0.015936048636822076
pooling_width,ETTm2,96,24,0.17446407509472828,0.26316244246467707,1003853.0,3,0.175459243027235,0.2638671479644675,1004013.0,-0.5671789729266408,-0.267068297522699,-0.015936048636822076
pooling_width,ETTm1,720,8,0.42994972346532495,0.4292102583333348,6836397.0,3,0.4285775581438897,0.428472593087392,6835917.0,0.32016732919426527,0.1721615939604293,0.0070217353429047336
pooling_width,ETTm2,720,8,0.37578460624606996,0.392089963488861,6836397.0,3,0.37535094167338007,0.3918036578740014,6835917.0,0.11553576254705877,0.07307374729810245,0.0070217353429047336
pooling_width,ETTm1,720,16,0.4285775581438897,0.428472593087392,6835917.0,3,0.4285775581438897,0.428472593087392,6835917.0,0.0,0.0,0.0
pooling_width,ETTm2,720,16,0.37535094167338007,0.3918036578740014,6835917.0,3,0.37535094167338007,0.3918036578740014,6835917.0,0.0,0.0,0.0
pooling_width,ETTm1,720,24,0.4306843771330069,0.4307939196535575,6835757.0,3,0.4285775581438897,0.428472593087392,6835917.0,0.49158406666029997,0.5417678058330377,-0.002340578447634911
pooling_width,ETTm2,720,24,0.37462963653267295,0.39175258483671,6835757.0,3,0.37535094167338007,0.3918036578740014,6835917.0,-0.19216819797798212,-0.013035365103153396,-0.002340578447634911
recent_window,ETTm1,96,48,0.30524776988625546,0.35547760660719313,555597.0,3,0.2980809865980488,0.35206386011996865,1004013.0,2.4043074232945827,0.9696384303862438,-44.662369909552964
