panel,horizon,setting,mse_change_pct,mae_change_pct,parameter_change_pct
pooling_width,96,8,0.38408192577332745,0.2801293176406816,0.047808145910455124
pooling_width,96,16,0.0,0.0,0.0
pooling_width,96,24,-0.0088905133107553,0.03460839954121386,-0.015936048636822076
pooling_width,720,8,0.21785154587066202,0.12261767062926587,0.0070217353429047336
pooling_width,720,16,0.0,0.0,0.0
pooling_width,720,24,0.14970793434115892,0.2643662203649422,-0.002340578447634911
recent_window,96,48,0.04595882084890146,0.28293817222810325,-44.662369909552964
recent_window,96,96,0.0,0.0,0.0
recent_window,96,192,-0.20368168264480735,-0.8789890935004319,89.32473981910593
recent_window,720,48,2.462772425027826,1.7196811952946645,-49.06086484081068
recent_window,720,96,0.0,0.0,0.0
recent_window,720,192,2.0589172704374437,1.0248940294960263,98.12172968162136
total_history,96,192,1.9835481408191022,0.5610362783015891,-0.02867489841063368
total_history,96,336,0.0,0.0,0.0
total_history,96,720,-0.7385482990475737,-0.14428221446429745,0.07646639576167995
total_history,96,960,-0.6192401585098669,0.3751769319014923,0.1242578931127225
total_history,720,192,2.034102386048923,0.6837587352569193,-0.0042128255305066515
total_history,720,336,0.0,0.0,0.0
total_history,720,720,-2.3141058786292317,-0.12255397676539752,0.011234201414689338
total_history,720,960,-3.566227825701444,-0.2757517765749469,0.018255577298872023
