horizon,method,validation_mse,parameter_count,milliseconds_per_batch,peak_cuda_memory_bytes,dataset_count,parameters_million,peak_memory_mib
96,RGSP-336,0.24170674094635083,3232262.0,8.924082114410654,431439360.0,2,3.232262,411.45263671875
96,RGSP-96,0.2665608770004893,997382.0,4.555054850858121,139060736.0,2,0.997382,132.61865234375
96,TimeRole,0.24542703360806678,1004013.0,5.054447620095134,139173888.0,2,1.004013,132.7265625
720,RGSP-336,0.6114057592488669,23570918.0,9.328345403753044,516267520.0,2,23.570918,492.35107421875
720,RGSP-96,0.63199552483087,6809318.0,4.901892091588465,165855744.0,2,6.809318,158.17236328125
720,TimeRole,0.6095198334748558,6835917.0,5.257123298722611,166607872.0,2,6.835917,158.8896484375
