dataset,horizon,intervention,mse,mae,mse_change_pct,mae_change_pct,memory_correction_mae,memory_correction_rms,milliseconds_per_batch,peak_cuda_memory_bytes,parameter_count
ETTm1,96,intact,0.3676290116385146,0.40006146778274826,0.0,0.0,0.21309415791523362,0.33220424222682526,5.193422706511559,139173888,1004013
ETTm1,96,batch_shuffle,0.6466990613763477,0.5598125443215592,75.91077986310817,39.93163286236883,0.3246649541046963,0.48026823936570007,4.891137776547762,139173888,1004013
ETTm1,96,temporal_shuffle,0.4617414795618275,0.46426014265318993,25.599847929263163,16.047202752679123,0.09783362718029445,0.15948018769522243,5.035205262286495,139173888,1004013
ETTm1,96,reverse,0.5546440050737851,0.49865114932881555,50.87057536665801,24.643633412754962,0.21436697698849322,0.3399759569938479,4.919721259782351,139173888,1004013
ETTm1,96,recent_mean,0.46133200149877973,0.4602885316970188,25.488464428482658,15.054452569017863,0.0,0.0,4.95264181534255,139173888,1004013
ETTm1,96,noise,0.4646406433862287,0.4616810747349127,26.38845920112108,15.40253483887799,0.029832211640820946,0.051745801923235094,5.054098578019057,139173888,1004013
ETTm1,720,intact,0.9410282849806859,0.6398984291359798,0.0,0.0,0.2677498502599287,0.4028604631631134,5.248153745472299,166607872,6835917
ETTm1,720,batch_shuffle,1.1673397597538826,0.7787645148758088,24.049380702498397,21.70126998550884,0.4376686579980745,0.6065898475139072,5.287637760498996,166607872,6835917
ETTm1,720,temporal_shuffle,1.0566699732675124,0.7049722986178161,12.288864227837744,10.169406036783363,0.1532537881864306,0.23678025143302997,5.444385414425085,166607872,6835917
ETTm1,720,reverse,1.1528603268392716,0.7357723426055587,22.51069869413473,14.982676797477406,0.253311387876653,0.38876002388332126,5.347960262790807,166607872,6835917
ETTm1,720,recent_mean,1.0671960877591342,0.7085973697205983,13.407440009206294,10.735913303831502,0.0,0.0,5.245653009345237,166607872,6835917
ETTm1,720,noise,1.0701447846046093,0.7096341933497854,13.720788384864903,10.897942710683942,0.031048154701363205,0.05384772443785143,5.145166606570665,166607872,6835917
ETTm2,96,intact,0.12322505557761908,0.2434081428975404,0.0,0.0,0.049858020825896326,0.08588487723954909,4.814657896455357,139173888,1004013
ETTm2,96,batch_shuffle,0.16592329982569953,0.28356398039986047,34.650618778731214,16.497327091979486,0.12098957559274139,0.22352462191184994,4.918855605855085,139173888,1004013
ETTm2,96,temporal_shuffle,0.12708430600064463,0.24814648054460195,3.1318715215304764,1.9466635711756348,0.03383172824629473,0.0674156527156347,5.19853555298197,139173888,1004013
ETTm2,96,reverse,0.13068543409449093,0.2512927696130245,6.054270766526525,3.23926168682164,0.04103867334860917,0.07198050320680231,4.99214029314215,139173888,1004013
ETTm2,96,recent_mean,0.1282002106748348,0.24808908861205392,4.037454131300347,1.9230850943568922,0.0,0.0,4.920375628355245,139173888,1004013
ETTm2,96,noise,0.12834929145921503,0.2482395841599107,4.158436656876339,1.984913571442861,0.006361520946292911,0.011225912994059803,5.241366020044801,139173888,1004013
ETTm2,720,intact,0.2780113819690256,0.3597080723466274,0.0,0.0,0.08815673958364333,0.15269710309634102,5.299437464595106,166607872,6835917
ETTm2,720,batch_shuffle,0.4600492721299,0.46077471360722405,65.47857460783962,28.096851038473577,0.2642575745172198,0.4786632421355687,5.402331831506812,166607872,6835917
ETTm2,720,temporal_shuffle,0.28117189274555754,0.36205034874060477,1.1368278356618078,0.6511603642078632,0.07493230113754176,0.1350967912443146,5.307181026736969,166607872,6835917
ETTm2,720,reverse,0.28301383361144133,0.3633242517984997,1.7993693664574837,1.0053095078688243,0.06839615090095652,0.12227451816221942,5.445862044277187,166607872,6835917
ETTm2,720,recent_mean,0.29063857861646225,0.3687580602001413,4.541971108522282,2.5159257045510564,0.0,0.0,5.16949739643323,166607872,6835917
ETTm2,720,noise,0.29081999282163856,0.36887709629498133,4.607225345198291,2.549018121427743,0.006256250195206515,0.010513165619789771,5.173961112562281,166607872,6835917
