dataset,short_scale,long_scale,validation_mse,ridge,variable,variable_mse
ETTm1,2,4,0.8923022104806477,33.016078125,HUFL,0.7750764425948536
ETTm1,2,4,0.8923022104806477,33.016078125,HULL,1.0820915411237
ETTm1,2,4,0.8923022104806477,33.016078125,MUFL,0.7896447051564638
ETTm1,2,4,0.8923022104806477,33.016078125,MULL,1.0630062304544847
ETTm1,2,4,0.8923022104806477,33.016078125,LUFL,1.377443275812296
ETTm1,2,4,0.8923022104806477,33.016078125,LULL,1.0279525120327078
ETTm1,2,4,0.8923022104806477,33.016078125,OT,0.13090076619002775
ETTm1,4,8,0.8925750045122368,32.468822265625,HUFL,0.7751215858437105
ETTm1,4,8,0.8925750045122368,32.468822265625,HULL,1.082466070407897
ETTm1,4,8,0.8925750045122368,32.468822265625,MUFL,0.7897167543803815
ETTm1,4,8,0.8925750045122368,32.468822265625,MULL,1.063375999688413
ETTm1,4,8,0.8925750045122368,32.468822265625,LUFL,1.3780109742804485
ETTm1,4,8,0.8925750045122368,32.468822265625,LULL,1.0283318850001992
ETTm1,4,8,0.8925750045122368,32.468822265625,OT,0.13100176198460758
ETTm1,8,16,0.8931870050374364,31.49140625,HUFL,0.7752479485647548
ETTm1,8,16,0.8931870050374364,31.49140625,HULL,1.0833604444981304
ETTm1,8,16,0.8931870050374364,31.49140625,MUFL,0.7898517943417983
ETTm1,8,16,0.8931870050374364,31.49140625,MULL,1.0642246877941473
ETTm1,8,16,0.8931870050374364,31.49140625,LUFL,1.3793107465293852
ETTm1,8,16,0.8931870050374364,31.49140625,LULL,1.0291508642943297
ETTm1,8,16,0.8931870050374364,31.49140625,OT,0.13116254923950907
ETTm1,16,32,0.8941665276837184,29.781810546875,HUFL,0.7752060187830634
ETTm1,16,32,0.8941665276837184,29.781810546875,HULL,1.0848931322126327
ETTm1,16,32,0.8941665276837184,29.781810546875,MUFL,0.7900255975828337
ETTm1,16,32,0.8941665276837184,29.781810546875,MULL,1.0657779861520988
ETTm1,16,32,0.8941665276837184,29.781810546875,LUFL,1.381393449977947
ETTm1,16,32,0.8941665276837184,29.781810546875,LULL,1.0304770148516984
ETTm1,16,32,0.8941665276837184,29.781810546875,OT,0.13139249422575489
ETTm1,24,48,0.894967597589645,28.533208984375,HUFL,0.7747623079082505
ETTm1,24,48,0.894967597589645,28.533208984375,HULL,1.0864327059640826
ETTm1,24,48,0.894967597589645,28.533208984375,MUFL,0.7899353336886406
ETTm1,24,48,0.894967597589645,28.533208984375,MULL,1.0671914395424742
ETTm1,24,48,0.894967597589645,28.533208984375,LUFL,1.3834744872958973
ETTm1,24,48,0.894967597589645,28.533208984375,LULL,1.031461181175997
ETTm1,24,48,0.894967597589645,28.533208984375,OT,0.13151572755217253
ETTm2,2,4,0.47253875590813516,33.63937109375,HUFL,0.3849402078113427
ETTm2,2,4,0.47253875590813516,33.63937109375,HULL,0.8650369503265837
ETTm2,2,4,0.47253875590813516,33.63937109375,MUFL,0.1026356850470559
ETTm2,2,4,0.47253875590813516,33.63937109375,MULL,1.3253654687885768
ETTm2,2,4,0.47253875590813516,33.63937109375,LUFL,0.3684163223095662
ETTm2,2,4,0.47253875590813516,33.63937109375,LULL,0.018151579635163808
ETTm2,2,4,0.47253875590813516,33.63937109375,OT,0.24322507743865665
ETTm2,4,8,0.4726735388161726,33.30072265625,HUFL,0.3849793395283455
ETTm2,4,8,0.4726735388161726,33.30072265625,HULL,0.8653173655835944
ETTm2,4,8,0.4726735388161726,33.30072265625,MUFL,0.10262699333415148
ETTm2,4,8,0.4726735388161726,33.30072265625,MULL,1.325692817995569
ETTm2,4,8,0.4726735388161726,33.30072265625,LUFL,0.36842517736430014
ETTm2,4,8,0.4726735388161726,33.30072265625,LULL,0.018069889782144858
ETTm2,4,8,0.4726735388161726,33.30072265625,OT,0.24360318812510287
ETTm2,8,16,0.4730772319653119,32.8907421875,HUFL,0.3852170553537915
ETTm2,8,16,0.4730772319653119,32.8907421875,HULL,0.8659755806030691
ETTm2,8,16,0.4730772319653119,32.8907421875,MUFL,0.10270010850242374
ETTm2,8,16,0.4730772319653119,32.8907421875,MULL,1.3269543244934883
ETTm2,8,16,0.4730772319653119,32.8907421875,LUFL,0.36855840816505064
ETTm2,8,16,0.4730772319653119,32.8907421875,LULL,0.01796771336173762
ETTm2,8,16,0.4730772319653119,32.8907421875,OT,0.2441674332776222
ETTm2,16,32,0.4735895761440056,32.386685546875,HUFL,0.38556256008518053
ETTm2,16,32,0.4735895761440056,32.386685546875,HULL,0.8669875281609728
ETTm2,16,32,0.4735895761440056,32.386685546875,MUFL,0.1028002227597038
ETTm2,16,32,0.4735895761440056,32.386685546875,MULL,1.3281156978978605
ETTm2,16,32,0.4735895761440056,32.386685546875,LUFL,0.36888538052112585
ETTm2,16,32,0.4735895761440056,32.386685546875,LULL,0.017836957717118667
ETTm2,16,32,0.4735895761440056,32.386685546875,OT,0.2449386858660769
ETTm2,24,48,0.47422647762790654,32.0448125,HUFL,0.38608538767689815
ETTm2,24,48,0.47422647762790654,32.0448125,HULL,0.8681293881972413
ETTm2,24,48,0.47422647762790654,32.0448125,MUFL,0.10302827043155324
ETTm2,24,48,0.47422647762790654,32.0448125,MULL,1.3298765151591867
ETTm2,24,48,0.47422647762790654,32.0448125,LUFL,0.36919049313809355
ETTm2,24,48,0.47422647762790654,32.0448125,LULL,0.01776270983777343
ETTm2,24,48,0.47422647762790654,32.0448125,OT,0.24551257895459944
