dataset,pred_len,seed,baseline_mse,cmrhm_mse,mse_improvement_pct,baseline_mae,cmrhm_mae,mae_improvement_pct,baseline_best_epoch,cmrhm_best_epoch,baseline_duration_seconds,cmrhm_duration_seconds
ETTm1,96,2021,0.3992811247372585,0.36555982886844346,8.445502123598981,0.41991481357879334,0.398636661876151,5.067254360782321,6,6,139.211,146.301
ETTm1,192,2021,0.5152321789619427,0.48078013696058786,6.68670230783463,0.48045598148146657,0.46060922740324106,4.130816316830699,4,11,116.986,206.528
ETTm1,336,2021,0.6510336135800641,0.6224400361064324,4.392027827318203,0.5418070118707407,0.5233821398832569,3.400633728210112,5,22,128.303,336.682
ETTm1,720,2021,0.9711080876642081,0.9400004502334256,3.2033135987576036,0.6596722059413728,0.6397543385814374,3.019358278330368,3,3,109.73,115.042
ETTm2,96,2021,0.12860083329748384,0.12291466004130268,4.421567971513615,0.24753681880652414,0.24302524385196883,1.8225874341875503,1,1,84.562,90.226
ETTm2,192,2021,0.16899244106427846,0.1616830469834837,4.325278713510348,0.28261843127676095,0.2776145029683509,1.7705597918027673,1,1,85.277,118.38
ETTm2,336,2021,0.22578487681786574,0.21440705809129573,5.039229769028408,0.32702781782555446,0.3208749137249369,1.8814619935175225,1,2,92.763,103.086
ETTm2,720,2021,0.2901884749637494,0.2786508198134717,3.975917772654138,0.36994488330291747,0.35967733572065547,2.775426298802125,1,1,87.232,92.198
