dataset,horizon,seed,model,test_mse,test_mae,source_record
ETTm2,96,2021,GlobalGate,0.1708613783121109,0.26003244519233704,/home/cwh/Time-Series-Library/logs/graphmamba_cmrhm_table34_final_test/records/c_ettm2_p96_gg_s2021.json
ETTm2,96,2022,Recent96,0.18960070610046387,0.2725439965724945,/home/cwh/Time-Series-Library/logs/graphmamba_cmrhm_table34_final_test/records/a_ettm2_p96_r_s2022.json
ETTm2,96,2022,TimeRole,0.17612236738204956,0.264007568359375,/home/cwh/Time-Series-Library/logs/graphmamba_cmrhm_table34_final_test/records/a_ettm2_p96_c_s2022.json
ETTm2,96,2022,Concat,0.18059581518173218,0.2676401138305664,/home/cwh/Time-Series-Library/logs/timerole_ablation_multiseed/final/ab3_ettm2_p96_cat_s2022.json
ETTm2,96,2022,NoDiff,0.1761418879032135,0.26368463039398193,/home/cwh/Time-Series-Library/logs/timerole_ablation_multiseed/final/ab3_ettm2_p96_nd_s2022.json
ETTm2,96,2022,GlobalGate,0.1763233244419098,0.264112263917923,/home/cwh/Time-Series-Library/logs/timerole_ablation_multiseed/final/ab3_ettm2_p96_gg_s2022.json
ETTm2,96,2023,Recent96,0.20162811875343323,0.2780067026615143,/home/cwh/Time-Series-Library/logs/graphmamba_cmrhm_table34_final_test/records/a_ettm2_p96_r_s2023.json
ETTm2,96,2023,TimeRole,0.17917391657829285,0.26717668771743774,/home/cwh/Time-Series-Library/logs/graphmamba_cmrhm_table34_final_test/records/a_ettm2_p96_c_s2023.json
ETTm2,96,2023,Concat,0.17534558475017548,0.26579251885414124,/home/cwh/Time-Series-Library/logs/timerole_ablation_multiseed/final/ab3_ettm2_p96_cat_s2023.json
ETTm2,96,2023,NoDiff,0.1776980608701706,0.2667943835258484,/home/cwh/Time-Series-Library/logs/timerole_ablation_multiseed/final/ab3_ettm2_p96_nd_s2023.json
ETTm2,96,2023,GlobalGate,0.17831847071647644,0.266394704580307,/home/cwh/Time-Series-Library/logs/timerole_ablation_multiseed/final/ab3_ettm2_p96_gg_s2023.json
ETTm2,720,2021,Recent96,0.40427374839782715,0.40237027406692505,/home/cwh/Time-Series-Library/logs/graphmamba_cmrhm_final_test/records/ettm2_720_recent336_s2021.json
ETTm2,720,2021,TimeRole,0.37522217631340027,0.38984760642051697,/home/cwh/Time-Series-Library/logs/graphmamba_cmrhm_final_test/records/ettm2_720_cmrhm_s2021.json
ETTm2,720,2021,Concat,0.37551358342170715,0.39136210083961487,/home/cwh/Time-Series-Library/logs/graphmamba_cmrhm_table34_final_test/records/c_ettm2_p720_cat_s2021.json
ETTm2,720,2021,NoDiff,0.37617889046669006,0.3914729654788971,/home/cwh/Time-Series-Library/logs/graphmamba_cmrhm_table34_final_test/records/c_ettm2_p720_nd_s2021.json
ETTm2,720,2021,GlobalGate,0.37332963943481445,0.3901160657405853,/home/cwh/Time-Series-Library/logs/graphmamba_cmrhm_table34_final_test/records/c_ettm2_p720_gg_s2021.json
ETTm2,720,2022,Recent96,0.42142313718795776,0.41606026887893677,/home/cwh/Time-Series-Library/logs/graphmamba_cmrhm_table34_final_test/records/a_ettm2_p720_r_s2022.json
ETTm2,720,2022,TimeRole,0.3763110339641571,0.39477506279945374,/home/cwh/Time-Series-Library/logs/graphmamba_cmrhm_table34_final_test/records/a_ettm2_p720_c_s2022.json
ETTm2,720,2022,Concat,0.3790331482887268,0.39723947644233704,/home/cwh/Time-Series-Library/logs/timerole_ablation_multiseed/final/ab3_ettm2_p720_cat_s2022.json
ETTm2,720,2022,NoDiff,0.37697702646255493,0.39542290568351746,/home/cwh/Time-Series-Library/logs/timerole_ablation_multiseed/final/ab3_ettm2_p720_nd_s2022.json
ETTm2,720,2022,GlobalGate,0.3740943372249603,0.394894540309906,/home/cwh/Time-Series-Library/logs/timerole_ablation_multiseed/final/ab3_ettm2_p720_gg_s2022.json
ETTm2,720,2023,Recent96,0.4080672562122345,0.4081555902957916,/home/cwh/Time-Series-Library/logs/graphmamba_cmrhm_table34_final_test/records/a_ettm2_p720_r_s2023.json
ETTm2,720,2023,TimeRole,0.3748840391635895,0.39040958881378174,/home/cwh/Time-Series-Library/logs/graphmamba_cmrhm_table34_final_test/records/a_ettm2_p720_c_s2023.json
ETTm2,720,2023,Concat,0.3752673268318176,0.39160507917404175,/home/cwh/Time-Series-Library/logs/timerole_ablation_multiseed/final/ab3_ettm2_p720_cat_s2023.json
ETTm2,720,2023,NoDiff,0.3748396337032318,0.3907705247402191,/home/cwh/Time-Series-Library/logs/timerole_ablation_multiseed/final/ab3_ettm2_p720_nd_s2023.json
ETTm2,720,2023,GlobalGate,0.37365689873695374,0.3914891183376312,/home/cwh/Time-Series-Library/logs/timerole_ablation_multiseed/final/ab3_ettm2_p720_gg_s2023.json
