dataset,pred_len,seed,recent96_mse,recent96_mae,dhc_mse,dhc_mae,raw336_mse,raw336_mae
ETTh1,96,2021,0.38718141123832084,0.40456149628032545,0.3814290599720268,0.40531862745980496,0.41642529834200404,0.42386881024488743
ETTh1,96,2022,0.38535988613551647,0.4047392804795701,0.379551518158066,0.40561204272538687,0.42891714830342303,0.4298030270157976
ETTh1,96,2023,0.38219383946135277,0.40119661393303785,0.3781751233838181,0.40288322566462,0.3915690326910809,0.41213448199898073
ETTh1,192,2021,0.43553824743006636,0.43549730117866214,0.4211950348567282,0.43393090127237216,0.4810703999366795,0.46558132452654793
ETTh1,192,2022,0.4528506888546802,0.44844083467325546,0.4316467614210959,0.4417884218641903,0.42179793462371784,0.43093499966924564
ETTh1,192,2023,0.44739049915113155,0.4462482082569132,0.42515688697925597,0.43784753454947717,0.4334335725209385,0.43706984549428857
ETTh1,336,2021,0.49722250555826725,0.46394245440398196,0.4675327013532536,0.45511592502348514,0.5174397413671004,0.5001198210874995
ETTh1,336,2022,0.4841950782125438,0.45682922231133444,0.46056094541728504,0.4531949311915835,0.475885827246638,0.47344830797753007
ETTh1,336,2023,0.49862224426469387,0.46349714201247366,0.45418654960929145,0.44822194149759187,0.5030137383583982,0.5004781473894276
ETTh1,720,2021,0.5075026093859676,0.4865044021149723,0.5046963630831444,0.48577850001748796,0.5577207417797472,0.5374091063805756
ETTh1,720,2022,0.5092600036290684,0.4880372808560697,0.5087986627724173,0.4879003715356825,0.6683874974246906,0.6036607760816637
ETTh1,720,2023,0.5068976857933415,0.48723376263818624,0.502143252136612,0.4999898074342098,0.6051297518529675,0.5648858941515582
ETTh2,96,2021,0.28761615894223375,0.33940871759613445,0.2888973704890287,0.3445803930242316,0.31054493317983595,0.36600970173428343
ETTh2,96,2022,0.28953479986328584,0.3405768910401742,0.2828307107033623,0.33961952402213197,0.32413501406853307,0.37398900575614175
ETTh2,96,2023,0.284218271208531,0.3376343202864073,0.27831747454639744,0.3371920097176923,0.3106965292556944,0.3676112263449504
ETTh2,192,2021,0.36840516712074084,0.3941282314965334,0.3568054449438139,0.39001907964791305,0.3782876288015383,0.40388924140459326
ETTh2,192,2022,0.36305100317135947,0.39015944669590735,0.3516041428496179,0.3861513488928418,0.3894518209948953,0.41527434703734556
ETTh2,192,2023,0.3663579856387387,0.3922070260868607,0.3545123370175204,0.38820488225888283,0.3771010131706234,0.4031703331836589
ETTh2,336,2021,0.4207849516762228,0.42974613593941074,0.38929751924502765,0.4175312801525402,0.4323484092318712,0.4329506430545554
ETTh2,336,2022,0.4222105009803116,0.42894128217952443,0.3892540478170083,0.41570354545434907,0.4255730898985734,0.4351997594816932
ETTh2,336,2023,0.4286245891867307,0.43274012287080194,0.39219710961309445,0.41784931721904056,0.4305319049661302,0.4346142981828391
ETTh2,720,2021,0.4116043795237648,0.43304131797324896,0.4228972018840742,0.4398371425990201,0.40500343071528533,0.4318104234929134
ETTh2,720,2022,0.45318481156596657,0.45718341956647834,0.4487030580502039,0.45523269539111677,0.42848493217494654,0.44030369773547506
ETTh2,720,2023,0.44547454831070316,0.45222700833284846,0.44226608080789104,0.4508577835929093,0.4192525536082192,0.4367937918196825
