dataset,pred_len,seed,comparison,baseline_mse,dhc_mse,mse_improvement_pct,baseline_mae,dhc_mae,mae_improvement_pct
ETTh1,96,2021,dhc_vs_recent96,0.38718141123832084,0.3814290599720268,1.4856992353781417,0.40456149628032545,0.40531862745980496,-0.18714860075435444
ETTh1,96,2021,dhc_vs_raw336,0.41642529834200404,0.3814290599720268,8.403965491365351,0.42386881024488743,0.40531862745980496,4.376397209873787
ETTh1,96,2022,dhc_vs_recent96,0.38535988613551647,0.379551518158066,1.507258068736274,0.4047392804795701,0.40561204272538687,-0.21563566668959303
ETTh1,96,2022,dhc_vs_raw336,0.42891714830342303,0.379551518158066,11.509362668436609,0.4298030270157976,0.40561204272538687,5.628388533783307
ETTh1,96,2023,dhc_vs_recent96,0.38219383946135277,0.3781751233838181,1.0514863565562649,0.40119661393303785,0.40288322566462,-0.42039530569508704
ETTh1,96,2023,dhc_vs_raw336,0.3915690326910809,0.3781751233838181,3.4205741999596824,0.41213448199898073,0.40288322566462,2.244717862356304
ETTh1,192,2021,dhc_vs_recent96,0.43553824743006636,0.4211950348567282,3.293215385324159,0.43549730117866214,0.43393090127237216,0.35968073787152366
ETTh1,192,2021,dhc_vs_raw336,0.4810703999366795,0.4211950348567282,12.446279190703134,0.46558132452654793,0.43393090127237216,6.798043990781042
ETTh1,192,2022,dhc_vs_recent96,0.4528506888546802,0.4316467614210959,4.682322000483614,0.44844083467325546,0.4417884218641903,1.483453846015662
ETTh1,192,2022,dhc_vs_raw336,0.42179793462371784,0.4316467614210959,-2.334963258216078,0.43093499966924564,0.4417884218641903,-2.5185752383247983
ETTh1,192,2023,dhc_vs_recent96,0.44739049915113155,0.42515688697925597,4.969620994201068,0.4462482082569132,0.43784753454947717,1.8825114705221637
ETTh1,192,2023,dhc_vs_raw336,0.4334335725209385,0.42515688697925597,1.909562633448913,0.43706984549428857,0.43784753454947717,-0.17793244333959987
ETTh1,336,2021,dhc_vs_recent96,0.49722250555826725,0.4675327013532536,5.971130404018779,0.46394245440398196,0.45511592502348514,1.9025052130303752
ETTh1,336,2021,dhc_vs_raw336,0.5174397413671004,0.4675327013532536,9.644995547112405,0.5001198210874995,0.45511592502348514,8.998622763271893
ETTh1,336,2022,dhc_vs_recent96,0.4841950782125438,0.46056094541728504,4.881117933397138,0.45682922231133444,0.4531949311915835,0.7955469882953615
ETTh1,336,2022,dhc_vs_raw336,0.475885827246638,0.46056094541728504,3.2202854029125225,0.47344830797753007,0.4531949311915835,4.277843313552998
ETTh1,336,2023,dhc_vs_recent96,0.49862224426469387,0.45418654960929145,8.911695209452732,0.46349714201247366,0.44822194149759187,3.2956407128117102
ETTh1,336,2023,dhc_vs_raw336,0.5030137383583982,0.45418654960929145,9.706929458518553,0.5004781473894276,0.44822194149759187,10.441256259521484
ETTh1,720,2021,dhc_vs_recent96,0.5075026093859676,0.5046963630831444,0.5529520934322936,0.4865044021149723,0.48577850001748796,0.14920771411906092
ETTh1,720,2021,dhc_vs_raw336,0.5577207417797472,0.5046963630831444,9.50733489441262,0.5374091063805756,0.48577850001748796,9.607318847054394
ETTh1,720,2022,dhc_vs_recent96,0.5092600036290684,0.5087986627724173,0.09059043580166953,0.4880372808560697,0.4879003715356825,0.02805304548599771
