dataset,window,variable,alpha,base_mse,direct_mse,direct_improvement_pct,corrected_mse,corrected_improvement_pct
ETTm1,7,HUFL,0.1895904061745623,0.7840476844244707,0.8917120871421618,-13.731869228938798,0.7792277471897986,0.6147505222479142
ETTm1,7,HULL,-0.03348304536118107,1.1801491330313298,1.2457830469012614,-5.561493207332565,1.179954929790421,0.016455822020558248
ETTm1,7,MUFL,0.20778576814914934,0.7795174696118143,0.892096429757017,-14.442134337446591,0.7726450957049928,0.8816189725990121
ETTm1,7,MULL,-0.03344342077166637,1.0921102655222745,1.1473121000702389,-5.054602661533032,1.0920108721363084,0.009101039437493354
ETTm1,7,LUFL,0.5229253274522373,1.4368770271874212,1.4270015283833573,0.6872890732615063,1.4032378742349219,2.3411295689197162
ETTm1,7,LULL,0.0343311400488604,1.323951711215295,1.345087075097642,-1.5963848003902092,1.32397429582543,-0.0017058484794890021
ETTm1,7,OT,0.28808181960372625,0.13301549104352656,0.1362248709673983,-2.412786585001245,0.1324361769406671,0.435523786225696
ETTm1,13,HUFL,0.24482576050379457,0.7840476844244707,0.8248597645392798,-5.205305866666405,0.7797318792755579,0.5504518710594553
ETTm1,13,HULL,0.06725543142967948,1.1801491330313298,1.2076550929628087,-2.3307189881017054,1.1802639688377659,-0.009730618209331032
ETTm1,13,MUFL,0.26632287033712254,0.7795174696118143,0.8206853489751427,-5.28120035383289,0.7734194584558785,0.7822802430550516
ETTm1,13,MULL,0.07176339918019121,1.0921102655222745,1.1127147779213966,-1.886669601926001,1.092109598677671,6.106019003652295e-05
ETTm1,13,LUFL,0.6284339009513447,1.4368770271874212,1.4124720364953591,1.6984745549055766,1.4057487434086955,2.1663846793943775
ETTm1,13,LULL,0.08068481644146364,1.323951711215295,1.3335019439665037,-0.7213429817951784,1.323946226237917,0.0004142883257450974
ETTm1,13,OT,0.5167978050698857,0.13301549104352656,0.1330521775956081,-0.027580661315267575,0.13219922128131376,0.6136651872718298
ETTm1,25,HUFL,0.0,0.7840476844244707,0.7840476844244707,0.0,0.7840476844244707,0.0
ETTm1,25,HULL,0.0,1.1801491330313298,1.1801491330313298,0.0,1.1801491330313298,0.0
ETTm1,25,MUFL,0.0,0.7795174696118143,0.7795174696118143,0.0,0.7795174696118143,0.0
ETTm1,25,MULL,0.0,1.0921102655222745,1.0921102655222745,0.0,1.0921102655222745,0.0
ETTm1,25,LUFL,0.0,1.4368770271874212,1.4368770271874212,0.0,1.4368770271874212,0.0
ETTm1,25,LULL,0.0,1.323951711215295,1.323951711215295,0.0,1.323951711215295,0.0
ETTm1,25,OT,0.0,0.13301549104352656,0.13301549104352656,0.0,0.13301549104352656,0.0
ETTm1,49,HUFL,0.01264789504252491,0.7840476844244707,1.2370903346284103,-57.782537874146655,0.7840184377506926,0.003730216204846732
ETTm1,49,HULL,-0.11236308889299747,1.1801491330313298,1.3008901097023144,-10.230993125491645,1.1797644116466592,0.032599387136980774
ETTm1,49,MUFL,0.009059021369297829,0.7795174696118143,1.3330970395221062,-71.01567206517701,0.7795169030402914,7.268233811384185e-05
ETTm1,49,MULL,-0.12325639419094221,1.0921102655222745,1.2023210047318191,-10.091539534869133,1.0913996748827282,0.06506583281739861
ETTm1,49,LUFL,0.04154160355516743,1.4368770271874212,1.6525984564524072,-15.013214435423507,1.437173701330663,-0.020647149173403233
ETTm1,49,LULL,0.07433897791804273,1.323951711215295,1.3500614428949733,-1.9721060412174272,1.3237241057716111,0.01719137048245556
ETTm1,49,OT,-0.6404704406705364,0.13301549104352656,0.14954550352629756,-12.427133376038055,0.12994216898018635,2.310499355548393
ETTm1,95,HUFL,0.010652809376143194,0.7840476844244707,5.117949875115657,-552.7600268180731,0.7837371892856895,0.039601563138235533
