dataset,variable,seasonal_delta,trend_delta,seasonal_multiplier,trend_multiplier,seasonal_trend_cosine,base_mse,corrected_mse,improvement_pct
ETTm1,HUFL,-0.15761456783978176,0.102548579740769,0.8423854321602182,1.102548579740769,0.34981717941222074,0.5252017675218135,0.5180816975526673,1.3556827888722667
ETTm1,HULL,-0.016508222288308932,0.12496793421862841,0.983491777711691,1.1249679342186285,0.09593213803083284,0.391165939457207,0.39059370396390425,0.1462897035710252
ETTm1,MUFL,-0.1623322851602014,0.09535347401845766,0.8376677148397986,1.0953534740184576,0.37199332126721224,0.549246637941061,0.5413205276065314,1.4430876380494393
ETTm1,MULL,0.03973248699428148,0.09863809835542586,1.0397324869942814,1.0986380983554258,0.11406494288975365,0.3589637284725987,0.3583647343672779,0.16686758516509861
ETTm1,LUFL,-0.721393477928711,0.21475053932306468,0.278606522071289,1.2147505393230646,-0.14402568599468357,0.5562950877898557,0.43338821506600955,22.093826715628857
ETTm1,LULL,-0.4048760534582784,0.3811417338344759,0.5951239465417216,1.3811417338344758,-0.27176243415234413,0.31275505027545586,0.2975345536267416,4.866587009645081
ETTm1,OT,0.09954809736179161,0.24083333642826502,1.0995480973617917,1.240833336428265,-0.04329484150375682,0.05722353739589476,0.05678292312007991,0.7699878334443178
ETTm2,HUFL,-0.16490012872268864,-0.012069825615455625,0.8350998712773113,0.9879301743845443,-0.03203434855531546,0.1899201774556098,0.18946681956114053,0.23870970454165025
ETTm2,HULL,-0.5389614987285337,-0.11498233463806934,0.4610385012714663,0.8850176653619306,0.0023561835734454205,0.1464981562234255,0.14109522688452095,3.6880527906880234
ETTm2,MUFL,-0.16287412746428523,-0.026055926411799372,0.8371258725357148,0.9739440735882007,-0.03784026204862606,0.06155916666423338,0.06139565722716794,0.2656134673773069
ETTm2,MULL,-0.38613744079926016,-0.035607071606897286,0.6138625592007398,0.9643929283931028,-0.011044838767754736,0.26076413314813607,0.2565162786731396,1.6290025870173417
ETTm2,LUFL,-0.6401113738729732,-0.05303468104929867,0.35988862612702677,0.9469653189507014,0.060377594166517716,0.12053275135258781,0.11604961231314515,3.7194364097177113
ETTm2,LULL,-0.7196799219842073,-0.19575836964350302,0.28032007801579273,0.804241630356497,0.07725925194503229,0.009503297793587502,0.008824718167038345,7.140464723803971
ETTm2,OT,-0.17034586464914814,0.13319177203729607,0.8296541353508519,1.1331917720372962,-0.0906913199776145,0.10676375503915456,0.10475809530274247,1.8785960981575958
