dataset,variable,seasonal_delta,trend_delta,seasonal_multiplier,trend_multiplier,seasonal_trend_cosine,base_mse,corrected_mse,improvement_pct
ETTm1,HUFL,-0.2537430624709775,0.18624339472151155,0.7462569375290224,1.1862433947215116,0.36154039935391324,0.7840476844244707,0.7665705517597536,2.229090527516338
ETTm1,HULL,0.1298215985101431,0.06387971557405461,1.1298215985101432,1.0638797155740547,0.1764383070773998,1.1801491330313298,1.180311442668368,-0.01375331578826133
ETTm1,MUFL,-0.239749198974817,0.18675560500283173,0.7602508010251829,1.1867556050028316,0.378796266374656,0.7795174696118143,0.7596474167716221,2.549019568488594
ETTm1,MULL,0.36006950495304385,0.027676517410950355,1.3600695049530438,1.0276765174109503,0.18182716299802745,1.0921102655222745,1.0873933621297651,0.4319072479603208
ETTm1,LUFL,-0.5329517572485436,0.16740211387494747,0.4670482427514564,1.1674021138749475,-0.06614816994435131,1.4368770271874212,1.3892604064103184,3.313896727147811
ETTm1,LULL,-0.05074429586124719,0.3214974342211783,0.9492557041387528,1.3214974342211783,-0.2627898936267366,1.323951711215295,1.3207202685689532,0.24407556702921956
ETTm1,OT,0.23599125275291555,0.11263340597960475,1.2359912527529155,1.1126334059796048,-0.16540228401740292,0.13301549104352656,0.1327057371846246,0.2328705149091131
ETTm2,HUFL,-0.3939227548439086,0.14442293810044088,0.6060772451560914,1.144422938100441,-0.0166411946334642,0.36754791035213324,0.3625580950185759,1.3575958924040163
ETTm2,HULL,-0.8479601804610964,-0.1283032157657043,0.15203981953890355,0.8716967842342958,-0.015615835741514235,0.38045202247273374,0.36153671977167845,4.971797121254866
ETTm2,MUFL,-0.5663623918245198,0.16071270322586934,0.43363760817548025,1.1607127032258693,-0.005418510666990051,0.11360935364062236,0.10990826285272544,3.257734217557902
ETTm2,MULL,-0.415430618010187,-0.1862146949881992,0.584569381989813,0.8137853050118008,-0.031175852688479524,0.5516064124147011,0.5454112713068608,1.1231089719788658
ETTm2,LUFL,-1.0816144962591805,0.05570476426482426,-0.08161449625918049,1.0557047642648243,0.011956333996170423,0.39584085801268876,0.372006478274446,6.021202525151849
ETTm2,LULL,-0.47438478181989263,-0.030120189049110242,0.5256152181801074,0.9698798109508897,0.06265563237726088,0.016822834228663118,0.016431744145751704,2.324757395784511
ETTm2,OT,0.30871095792492287,0.14330551870758587,1.308710957924923,1.1433055187075858,0.018230183335533386,0.26017937803274205,0.25895624493480984,0.4701114697023686
