dataset,pred_len,base_mse,corrected_mse,improvement_pct,equivalence_max_abs,calibration_batches,evaluation_batches,test_accessed,mean_seasonal_trend_cosine
ETTm1,96,0.3929788212648409,0.3708666221861731,5.626816989143973,0.0,179,179,False,0.06753208856417642
ETTm2,96,0.12793449109667637,0.12544377258984216,1.94687021887792,0.0,179,179,False,-0.004516819952045047
