model,dataset,horizon,seq_len,seed,validation_mse,validation_mae,best_epoch,test_mse,test_mae,duration_seconds,record_path
SimpleTM,ETTm1,96,336,2023,0.3542471497593242,0.39219719134234654,9,0.28963199890143076,0.3428535014807687,26.132,/home/cwh/Time-Series-Library/logs/simpletm_remaining_sl336/records/simpletm_ettm1_sl336_pl96_s2023.json
SimpleTM,ETTm1,192,336,2021,0.47392802766412756,0.4539238119645077,9,0.3249636029242503,0.3654640327022195,27.289,/home/cwh/Time-Series-Library/logs/simpletm_remaining_sl336/records/simpletm_ettm1_sl336_pl192_s2021.json
SimpleTM,ETTm1,192,336,2022,0.4766011700426292,0.45498243709139446,7,0.32461170096976416,0.36607554822448524,26.837,/home/cwh/Time-Series-Library/logs/simpletm_remaining_sl336/records/simpletm_ettm1_sl336_pl192_s2022.json
SimpleTM,ETTm1,192,336,2023,0.4721696365706826,0.4528038066238693,9,0.3210134482695294,0.36438158654994857,26.638,/home/cwh/Time-Series-Library/logs/simpletm_remaining_sl336/records/simpletm_ettm1_sl336_pl192_s2023.json
SimpleTM,ETTm1,336,336,2021,0.6215344505593923,0.5191354048115111,8,0.3592127961104256,0.38857673559477435,24.58,/home/cwh/Time-Series-Library/logs/simpletm_remaining_sl336/records/simpletm_ettm1_sl336_pl336_s2021.json
SimpleTM,ETTm1,336,336,2022,0.6202228890410657,0.5192937934910777,7,0.36137507907792643,0.38936273656618436,23.926,/home/cwh/Time-Series-Library/logs/simpletm_remaining_sl336/records/simpletm_ettm1_sl336_pl336_s2022.json
SimpleTM,ETTm1,336,336,2023,0.6146011677399502,0.5167746857837346,10,0.3594276624897556,0.388484783302011,24.378,/home/cwh/Time-Series-Library/logs/simpletm_remaining_sl336/records/simpletm_ettm1_sl336_pl336_s2023.json
SimpleTM,ETTm1,720,336,2021,0.9458601228823242,0.6361464739242803,6,0.41815135315035495,0.4219117392599322,29.748,/home/cwh/Time-Series-Library/logs/simpletm_remaining_sl336/records/simpletm_ettm1_sl336_pl720_s2021.json
SimpleTM,ETTm1,720,336,2022,0.9457199118812302,0.6357966024259402,5,0.41907842470402507,0.4208683505637889,26.235,/home/cwh/Time-Series-Library/logs/simpletm_remaining_sl336/records/simpletm_ettm1_sl336_pl720_s2022.json
SimpleTM,ETTm1,720,336,2023,0.9384417258106796,0.6344361859360832,10,0.41439420070759725,0.41976483922986996,30.851,/home/cwh/Time-Series-Library/logs/simpletm_remaining_sl336/records/simpletm_ettm1_sl336_pl720_s2023.json
SimpleTM,ETTm2,96,336,2021,0.12341073916531534,0.2403417561721762,10,0.1693827130579136,0.25738296666194516,28.647,/home/cwh/Time-Series-Library/logs/simpletm_remaining_sl336/records/simpletm_ettm2_sl336_pl96_s2021.json
SimpleTM,ETTm2,96,336,2022,0.12576717280119276,0.24664741041511995,2,0.17538496692590294,0.26853351363666705,16.406,/home/cwh/Time-Series-Library/logs/simpletm_remaining_sl336/records/simpletm_ettm2_sl336_pl96_s2022.json
SimpleTM,ETTm2,96,336,2023,0.12373844090682636,0.24129704152542786,6,0.17082304849293725,0.25946222589700885,26.285,/home/cwh/Time-Series-Library/logs/simpletm_remaining_sl336/records/simpletm_ettm2_sl336_pl96_s2023.json
SimpleTM,ETTm2,192,336,2021,0.16675320182883574,0.2839650731503843,1,0.23461891098217758,0.3073486814540631,12.349,/home/cwh/Time-Series-Library/logs/simpletm_remaining_sl336/records/simpletm_ettm2_sl336_pl192_s2021.json
SimpleTM,ETTm2,192,336,2022,0.16750863288203485,0.2843256604202526,1,0.23468413130751362,0.3062339077752106,12.448,/home/cwh/Time-Series-Library/logs/simpletm_remaining_sl336/records/simpletm_ettm2_sl336_pl192_s2022.json
SimpleTM,ETTm2,192,336,2023,0.16700041603108357,0.2813578044296053,10,0.22541656852666914,0.29650223373961393,23.278,/home/cwh/Time-Series-Library/logs/simpletm_remaining_sl336/records/simpletm_ettm2_sl336_pl192_s2023.json
SimpleTM,ETTm2,336,336,2021,0.2078590057974324,0.3150972991698635,3,0.2871084729450145,0.3390639631851567,22.929,/home/cwh/Time-Series-Library/logs/simpletm_remaining_sl336/records/simpletm_ettm2_sl336_pl336_s2021.json
SimpleTM,ETTm2,336,336,2022,0.20888457312126907,0.31642943734196294,3,0.29958426524151305,0.3456540312327993,22.627,/home/cwh/Time-Series-Library/logs/simpletm_remaining_sl336/records/simpletm_ettm2_sl336_pl336_s2022.json
SimpleTM,ETTm2,336,336,2023,0.21048105846974602,0.3181125758741835,2,0.29948626364922787,0.3502425757266474,20.018,/home/cwh/Time-Series-Library/logs/simpletm_remaining_sl336/records/simpletm_ettm2_sl336_pl336_s2023.json
SimpleTM,ETTm2,720,336,2021,0.2752746630557062,0.35610968308526697,2,0.3705193596699049,0.3899240308161502,18.117,/home/cwh/Time-Series-Library/logs/simpletm_remaining_sl336/records/simpletm_ettm2_sl336_pl720_s2021.json
SimpleTM,ETTm2,720,336,2022,0.2759755102523025,0.3583268657126655,1,0.37261270413834957,0.3938131434727164,16.214,/home/cwh/Time-Series-Library/logs/simpletm_remaining_sl336/records/simpletm_ettm2_sl336_pl720_s2022.json
SimpleTM,ETTm2,720,336,2023,0.2781427405345239,0.36009147304620165,1,0.3722244731023215,0.3922326266729418,16.62,/home/cwh/Time-Series-Library/logs/simpletm_remaining_sl336/records/simpletm_ettm2_sl336_pl720_s2023.json
SimpleTM,weather,96,336,2021,0.37845036498096746,0.27262133401537697,3,0.1517101956497401,0.20343254345240944,30.909,/home/cwh/Time-Series-Library/logs/simpletm_remaining_sl336/records/simpletm_weather_sl336_pl96_s2021.json
SimpleTM,weather,96,336,2022,0.37450467487829847,0.26929271893691054,4,0.1502046346161482,0.20102166183048775,36.012,/home/cwh/Time-Series-Library/logs/simpletm_remaining_sl336/records/simpletm_weather_sl336_pl96_s2022.json
SimpleTM,weather,96,336,2023,0.3768078984893197,0.26406248839297697,3,0.14945449620849652,0.19906995665397806,31.401,/home/cwh/Time-Series-Library/logs/simpletm_remaining_sl336/records/simpletm_weather_sl336_pl96_s2023.json
SimpleTM,weather,192,336,2021,0.45662767446896085,0.32538460604321756,3,0.19625550909871683,0.24743688201403413,31.505,/home/cwh/Time-Series-Library/logs/simpletm_remaining_sl336/records/simpletm_weather_sl336_pl192_s2021.json
SimpleTM,weather,192,336,2022,0.45231425485330295,0.3248744825555821,5,0.1968725835499278,0.24862081653270263,41.379,/home/cwh/Time-Series-Library/logs/simpletm_remaining_sl336/records/simpletm_weather_sl336_pl192_s2022.json
SimpleTM,weather,192,336,2023,0.4464045500792342,0.3185521645830696,4,0.19476978823646549,0.24320268727822855,37.317,/home/cwh/Time-Series-Library/logs/simpletm_remaining_sl336/records/simpletm_weather_sl336_pl192_s2023.json
SimpleTM,weather,336,336,2021,0.5405629251341705,0.37708944937101824,9,0.2448043527490581,0.27961981464948943,35.666,/home/cwh/Time-Series-Library/logs/simpletm_remaining_sl336/records/simpletm_weather_sl336_pl336_s2021.json
SimpleTM,weather,336,336,2022,0.5209815891381038,0.36224312193004526,7,0.23666213353144325,0.27571708985130217,36.431,/home/cwh/Time-Series-Library/logs/simpletm_remaining_sl336/records/simpletm_weather_sl336_pl336_s2022.json
SimpleTM,weather,336,336,2023,0.5255260550743853,0.367464483365957,6,0.23964855640286095,0.27734036933059353,32.855,/home/cwh/Time-Series-Library/logs/simpletm_remaining_sl336/records/simpletm_weather_sl336_pl336_s2023.json
SimpleTM,weather,720,336,2021,0.6240731894060146,0.42875951227069115,9,0.31852055206346513,0.3322199670541304,36.476,/home/cwh/Time-Series-Library/logs/simpletm_remaining_sl336/records/simpletm_weather_sl336_pl720_s2021.json
SimpleTM,weather,720,336,2022,0.6298713329328167,0.43225976593608706,10,0.3184946533047905,0.3307936550030173,36.169,/home/cwh/Time-Series-Library/logs/simpletm_remaining_sl336/records/simpletm_weather_sl336_pl720_s2022.json
SimpleTM,weather,720,336,2023,0.6316768368978735,0.4332786074401928,10,0.3170608494232158,0.3299804068723127,37.877,/home/cwh/Time-Series-Library/logs/simpletm_remaining_sl336/records/simpletm_weather_sl336_pl720_s2023.json
