dataset,horizon,seed,recent_mse,cmrhm_mse,mse_improvement_pct,recent_mae,cmrhm_mae,mae_improvement_pct
ETTm1,96,2021,0.3992811247372585,0.36555982886844346,8.445502123598981,0.41991481357879334,0.398636661876151,5.067254360782321
ETTm1,96,2022,0.40046227975550996,0.36887037598193656,7.888858794106871,0.4199415256873486,0.4020315156415737,4.264881882414536
ETTm1,96,2023,0.39172758107385597,0.3668447889590544,6.352065393656866,0.4149620464889782,0.40160328877075296,3.2192721795293338
ETTm1,192,2021,0.5152321789619427,0.48078013696058786,6.68670230783463,0.48045598148146657,0.46060922740324106,4.130816316830699
ETTm1,192,2022,0.5138881952035881,0.4823156402052218,6.14385683365584,0.48010906721531466,0.4623611851204401,3.696635474479624
ETTm1,192,2023,0.5119161638023759,0.48742815176884424,4.783598128967309,0.48025607367257656,0.46523151998429024,3.1284463668292055
ETTm1,336,2021,0.6510336135800641,0.6224400361064324,4.392027827318203,0.5418070118707407,0.5233821398832569,3.400633728210112
ETTm1,336,2022,0.6605555830601896,0.6338353108219847,4.0451209441628615,0.544906834439569,0.5291758672563026,2.8869095025107407
ETTm1,336,2023,0.6581120282859735,0.6297597658893058,4.308120985193052,0.5428177274346261,0.527020475988891,2.9102313073659896
ETTm1,720,2021,0.9711080876642081,0.9400004502334256,3.2033135987576036,0.6596722059413728,0.6397543385814374,3.019358278330368
ETTm1,720,2022,0.9635965826014328,0.9378184969507893,2.675194797915331,0.6567405328476713,0.6390822574861252,2.688775015146179
ETTm1,720,2023,0.9682098827781139,0.9369639221348645,3.2271887737392735,0.6573818659076155,0.6386862010395403,2.843958106794285
ETTm2,96,2021,0.12860083329748384,0.12291466004130268,4.421567971513615,0.24753681880652414,0.24302524385196883,1.8225874341875503
ETTm2,96,2022,0.1332777245948746,0.12654909524344227,5.048577601309905,0.2525442522928791,0.2456937061757784,2.712612167928495
ETTm2,96,2023,0.1354250661832685,0.12799332537923838,5.487714360037942,0.25062084906720067,0.24551571008201886,2.036996923513307
ETTm2,192,2021,0.16899244106427846,0.1616830469834837,4.325278713510348,0.28261843127676095,0.2776145029683509,1.7705597918027673
ETTm2,192,2022,0.17064223934307934,0.1621488589341838,4.977302478912888,0.2836947730659957,0.27679804516085954,2.431038059179116
ETTm2,192,2023,0.1843476057141803,0.16810182122207035,8.812582311103105,0.2948056079549958,0.28369089118914514,3.7701849849299243
ETTm2,336,2021,0.22578487681786574,0.21440705809129573,5.039229769028408,0.32702781782555446,0.3208749137249369,1.8814619935175225
ETTm2,336,2022,0.2200152039103387,0.2081380847196144,5.398317470625583,0.32500945227411343,0.3162799386184472,2.6859260844831447
ETTm2,336,2023,0.21856628866954556,0.20535111818780546,6.046298613653248,0.32145367231499494,0.3119037748413025,2.970847215686629
ETTm2,720,2021,0.2901884749637494,0.2786508198134717,3.975917772654138,0.36994488330291747,0.35967733572065547,2.775426298802125
ETTm2,720,2022,0.29545028636091575,0.27418926291816886,7.196142438926213,0.3761128221186806,0.3611049248504557,3.990264725271506
ETTm2,720,2023,0.2955224373365543,0.2757137088150366,6.7029524729314005,0.37521176578197035,0.35866450536970096,4.410112347565547
