dataset,horizon,recent_mse_mean,recent_mse_sd,cmrhm_mse_mean,cmrhm_mse_sd,cmrhm_mean_mse_improvement_pct,recent_mae_mean,recent_mae_sd,cmrhm_mae_mean,cmrhm_mae_sd
ETTm1,96,0.3971569951888749,0.004738954000468835,0.3670916646031448,0.0016690240367946052,7.570137489692708,0.4182727952517067,0.0028672236417163384,0.4007571554294926,0.0018488413251400348
ETTm1,192,0.5136788459893022,0.0016678907202694055,0.4835079763115513,0.00348070025505527,5.873488837104904,0.48027370745645265,0.00017412808436685222,0.4627339775026571,0.002333586894971957
ETTm1,336,0.656567074975409,0.004945415679594432,0.628678370939241,0.005774091507695906,4.247654976791609,0.5431771912483119,0.0015808654795922907,0.5265261610428168,0.002928323695858961
ETTm1,720,0.9676381843479183,0.003788245820738266,0.9382609564396932,0.001565871489883059,3.035972368951322,0.6579315348988866,0.0015411939469310654,0.6391742657023677,0.0005399801718531444
ETTm2,96,0.1324345413585423,0.0034893777521758855,0.12581902688799443,0.002616860763664569,4.995308929743316,0.25023397338886794,0.0025260348617806576,0.24474488670325537,0.0014919112923810437
ETTm2,192,0.1746607620405127,0.008429511483991169,0.16397790904657927,0.0035789990104394182,6.116343973957662,0.28703960409925083,0.006747054159216261,0.2793678131061185,0.003766086021563002
ETTm2,336,0.22145545646591666,0.003818736608049028,0.2092987536662385,0.004638197514838066,5.489457335429954,0.3244969808048876,0.0028221879452475433,0.31635287572822884,0.004486014164472945
ETTm2,720,0.2937203995537398,0.0030589491533622604,0.2761845971822257,0.0022677465407914383,5.970236455539648,0.37375649040118947,0.003331551760693433,0.35981558864693736,0.001226069824370106
