dataset,horizon,recent_mse,raw_mse,cmrhm_mse,cmrhm_vs_raw_mse_pct,recent_mae,raw_mae,cmrhm_mae,cmrhm_vs_raw_mae_pct,recent_params,raw_params,cmrhm_params,raw_runtime_s,cmrhm_runtime_s
ETTm1,96,0.3992811247372585,0.36544667161578026,0.36555982886844346,-0.030964094477283596,0.41991481357879334,0.39850465863772305,0.398636661876151,-0.03312464122230969,997382,3232262,1004013,544.756,146.301
ETTm1,192,0.5152321789619427,0.4910920512208289,0.48078013696058786,2.099792540849756,0.48045598148146657,0.4632540980958298,0.46060922740324106,0.570933037281325,1891526,6361286,1901229,340.573,206.528
ETTm1,336,0.6510336135800641,0.6368677429416566,0.6224400361064324,2.265416484839291,0.5418070118707407,0.5276874562618409,0.5233821398832569,0.815883782624479,3232742,11054822,3247053,374.603,336.682
ETTm1,720,0.9711080876642081,0.9577100595534309,0.9400004502334256,1.8491618776838472,0.6596722059413728,0.6497050276452393,0.6397543385814374,1.5315702727231058,6809318,23570918,6835917,463.889,115.042
ETTm2,96,0.12860083329748384,0.11796681037529988,0.12291466004130268,-4.194272651995674,0.24753681880652414,0.23627921667175517,0.24302524385196883,-2.8551081534968055,997382,3232262,1004013,218.445,90.226
ETTm2,192,0.16899244106427846,0.15828853726216158,0.1616830469834837,-2.14450760619517,0.28261843127676095,0.2721707599769722,0.2776145029683509,-2.000120436096537,1891526,6361286,1901229,220.757,118.38
ETTm2,336,0.22578487681786574,0.20278870844453184,0.21440705809129573,-5.729288250751803,0.32702781782555446,0.30653413009600633,0.3208749137249369,-4.678364404133097,3232742,11054822,3247053,223.422,103.086
ETTm2,720,0.2901884749637494,0.26510145478238484,0.2786508198134717,-5.11101119464213,0.36994488330291747,0.3528077274783286,0.35967733572065547,-1.947125220705043,6809318,23570918,6835917,268.582,92.198
