dataset,pred_len,base_mse,base_mae,corrected_mse,corrected_mae,mse_improvement_pct,mae_improvement_pct,coefficients,state_features,fit_split,evaluation_split,test_accessed,checkpoint
ETTm1,96,0.400696535244626,0.41853639130246034,0.39819773041308887,0.4172078275784883,0.6236152828253413,0.3174308737736423,"[[-0.07171170248698142, -0.02459936080919475, 0.4602826860810818, 0.004921059553177662, -0.01397989803064125, -0.022524175217810645, -0.022500511151237797, 0.0013952177743346763], [-0.11211262081041387, -0.14752649549768435, 0.26889842304315725, -0.08737229452192265, -0.34776569692732845, 0.038318571182732825, 0.6839891516639143, -0.04151247174290535], [-0.02473696376142038, -0.011130610440729846, 0.18795812617306307, 0.01790539851619574, -0.027374352502210764, -0.017585678865866067, 0.06834813566161388, 0.008369113736765308], [-0.07061919643503882, -0.048294038591064674, 0.07207888289813702, -0.06305447640422117, -0.18299183186684634, 0.02813121355834433, 0.32557344348470646, 0.005942131653333552], [-0.050250101343079494, 0.07384279032918703, -0.08856947851077901, 0.0007396470797410339, -0.020853313888263853, 0.06789596927453065, -0.012720823595728181, 0.003010760828292691], [-0.11082466803397457, -0.27364661628390086, 0.019117463195987255, -0.0006409746176404995, 0.3234444991222623, -0.1911345921031622, -0.8788262712373892, 0.09893367866392874], [0.2388450319924095, -0.39097929720208313, -0.9228419544293139, -0.30801953024650836, 0.4745880585255897, -0.22399858288161437, -0.8895726626554107, 0.08213709994609412]]","['constant', 'recent_slope', 'difference_std', 'half_mean_shift']",train,val,False,/home/cwh/Time-Series-Library/checkpoints/long_term_forecast_ETTm1_96_96_ettm1_p96_s2021_baseline_frozen_GraphMamba_ETTm1_ftM_sl96_ll48_pl96_dm64_nh8_el1_dl1_df128_expand2_dc2_fc1_ebtimeF_dtTrue_ettm1_p96_s2021_baseline_frozen_0_patch4_st2_ds32_mv1_bi1_ga0.5_gk2/checkpoint.pth
ETTm2,96,0.12902908734608481,0.2482000790176956,0.12770957625606624,0.24709123186137485,1.0226462243194399,0.4467553599133587,"[[0.2591629239053819, -0.12979040430171612, -0.20692442663220076, 0.14514580928867155, 0.09254357066466103, -0.030584886242086114, 0.156834969370829, -0.13062313050830499], [0.5058958462355619, 0.7487086530889695, -1.1515000500372086, -0.2588252747839944, 0.283973103338308, 0.06352037600565885, -0.5047005698930326, -0.1747990851874917], [-0.16297444762887017, -0.36823308814719546, 0.4958734298744807, 0.16395203566324495, 0.3285168382065507, -0.12440805989290141, -0.5635225577690919, -0.1217052530771371], [0.16538364329998723, 0.7999969198477481, -0.4322445998699506, -0.14746349060711633, 0.2650431006214229, -0.0018471378511616926, -0.7921836162890323, -0.17098678851611362], [-0.840005612727201, 0.1891570391390203, 0.6202373476885457, -0.003032943134619076, 0.7104635581541459, -0.3359107235004092, -1.372601000027637, -0.08341243997423407], [-0.43571883708434644, 0.32953871325192685, 0.11140767967400599, 0.24041252918253767, 0.5677224578042571, -0.01275857541872473, -0.24174133785068241, -0.20347364589875874], [-0.21525941007647142, 0.11737826346209913, 0.8082583403720902, 0.02659649745461316, 0.11516742020964799, -0.5838127305909964, 0.16496914908340934, -0.04405276084559133]]","['constant', 'recent_slope', 'difference_std', 'half_mean_shift']",train,val,False,/home/cwh/Time-Series-Library/checkpoints/long_term_forecast_ETTm2_96_96_ettm2_p96_s2021_baseline_frozen_GraphMamba_ETTm2_ftM_sl96_ll48_pl96_dm64_nh8_el1_dl1_df128_expand2_dc2_fc1_ebtimeF_dtTrue_ettm2_p96_s2021_baseline_frozen_0_patch4_st2_ds32_mv1_bi1_ga0.5_gk2/checkpoint.pth
ETTm1,720,0.9635514069900751,0.6564324673857175,0.9616693796057795,0.6551337173182084,0.1953219486415091,0.19784976094822562,"[[-0.040961115157020486, 0.008249112069367875, 0.15528873275072053, 0.004033601542007705, -0.03503377781555028, -0.002703385415382278, 0.22893676209784597, -0.012915921322129199], [-0.05692332499777211, -0.09046631682380103, 0.113272651408694, -0.12616027026297735, -0.306073227123651, 0.01581010509220769, 0.6415869097375725, 0.002681930106845668], [-0.05243198170861643, 0.028026089233429485, 0.18158779448381682, 0.0051067860771440736, -0.0023333218678996707, -0.013930339572466754, 0.17062090568519403, -0.018575962756157312], [0.052064564846650105, -0.10527440496079668, -0.1456456271663133, -0.06803324824396334, -0.22148603029946226, -0.0011415159226418623, 0.4331901775714415, 0.0087582847903799], [0.01226941935980657, 0.044188497210998094, -0.16910568292637396, 0.00042992310085374807, 0.0995072747897775, -0.02778260940486906, -0.3207596493862703, -0.02810882961373573], [0.26832314990290346, -0.2652850325956655, -0.49127031649939074, 0.05617230877786306, 0.3168476670738363, -0.16055195422627988, -0.7147770602992889, 0.04472248486547145], [0.41828960614096217, 0.15310201835116377, -1.5406509561693817, 0.03710940201956192, 0.3262941824019546, -0.13526424724820987, -0.7507159400874432, 0.10303143871455081]]","['constant', 'recent_slope', 'difference_std', 'half_mean_shift']",train,val,False,/home/cwh/Time-Series-Library/checkpoints/long_term_forecast_ETTm1_96_720_ettm1_p720_s2021_baseline_frozen_GraphMamba_ETTm1_ftM_sl96_ll48_pl720_dm64_nh8_el1_dl1_df128_expand2_dc2_fc1_ebtimeF_dtTrue_ettm1_p720_s2021_baseline_frozen_0_patch4_st2_ds32_mv1_bi1_ga0.5_gk2/checkpoint.pth
ETTm2,720,0.2960342684052416,0.3739444267864307,0.29419634605063943,0.3724503929935619,0.6208478378206815,0.3995336434635702,"[[-0.13229750109823984, 1.1259231784546915, 0.4806543675595675, -0.29082435985012267, -0.2780225145822257, -0.036899970321055964, 1.0361293275254002, 0.12136533051961032], [-0.48271312146336465, 1.1005598981388625, 1.0271080798883754, -0.3674589777226852, -0.3018620305699696, -0.046647805594544844, 0.7161300171152377, 0.17048018872128445], [0.20602373280178685, 1.5776542478751296, -1.1614447275241988, 0.564659824631228, -0.3673719626183706, 0.127384630272408, 1.4388195004426967, 0.02311285501990285], [0.04669336377840983, 0.9019281245847951, -0.17450384787392345, -0.25265888241499024, -0.3538062596432063, -0.0953504521819264, 0.5703181124885734, 0.08686738000019523], [-0.2552846515894922, 0.4843125133072464, -0.8613315193534711, 0.06368141603053573, 0.4040454564961889, -0.48645131132530056, -0.5282671235602587, 0.008694191058273166], [-0.8371657943732711, 1.0009773747587916, 0.13220727166467838, 1.0034164297475894, 0.18448075866541713, -0.5751482004762686, 1.3678617662316932, 0.16407581951086792], [-0.025839360945296964, 0.8529512572734255, 0.604656820310642, -0.42759969369598944, 0.03917302106805666, -0.23366397473103842, 1.6120581559724334, 0.22815910346990345]]","['constant', 'recent_slope', 'difference_std', 'half_mean_shift']",train,val,False,/home/cwh/Time-Series-Library/checkpoints/long_term_forecast_ETTm2_96_720_ettm2_p720_s2021_baseline_frozen_GraphMamba_ETTm2_ftM_sl96_ll48_pl720_dm64_nh8_el1_dl1_df128_expand2_dc2_fc1_ebtimeF_dtTrue_ettm2_p720_s2021_baseline_frozen_0_patch4_st2_ds32_mv1_bi1_ga0.5_gk2/checkpoint.pth
