dataset,variable,alpha,raw_alpha,base_mse,cross_corrected_mse,cross_improvement_pct,raw_corrected_mse
ETTm1,HUFL,0.18743832204205346,0.03484769617272787,0.7840476844244707,0.7816816166228726,0.3017760078374445,0.783768582548654
ETTm1,HULL,-0.16044065566198207,-0.013257595593014464,1.1801491330313298,1.1790724857565413,0.09122976449790175,1.180185812808574
ETTm1,MUFL,0.12658265915345063,0.050584804969746745,0.7795174696118143,0.778346157540747,0.1502611701121524,0.7789360061098153
ETTm1,MULL,0.08033367875030976,-0.12123250041604165,1.0921102655222745,1.0921606793900702,-0.004616188436941978,1.0914015463284523
ETTm1,LUFL,0.41504708022291864,0.16363635110288427,1.4368770271874212,1.4308745653677224,0.41774359991321847,1.4358013679369144
ETTm1,LULL,-1.0387910569805918,0.3385281750092716,1.323951711215295,1.3129585448295438,0.8303298596638582,1.3200718031467276
ETTm1,OT,1.0801920405251288,-0.5965392030417205,0.13301549104352656,0.1312064282326699,1.360039192927297,0.13134304710744912
ETTm2,HUFL,0.16338073476389664,0.03380039858899756,0.36754791035213324,0.36605948603193506,0.40496062643158237,0.3675258320867758
ETTm2,HULL,0.5327521757890493,-0.18175236232739633,0.38045202247273374,0.3684456296589982,3.15582310108393,0.3803179869752263
ETTm2,MUFL,0.326069894067341,-0.3165454886758446,0.11360935364062236,0.11130713726672967,2.0264320675348917,0.11343811454653045
ETTm2,MULL,0.2908767037095806,-0.1475818429476003,0.5516064124147011,0.5460073011878773,1.0150554998650605,0.5515850733650618
ETTm2,LUFL,-0.33122141347720235,0.8019875519124768,0.39584085801268876,0.39238500589517783,0.8730407807978602,0.39048497076312366
ETTm2,LULL,0.07851678524793237,-0.1618036244466945,0.016822834228663118,0.016793967215839836,0.17159422978857058,0.016806152059497446
ETTm2,OT,0.3006021686300304,-0.53340060510714,0.26017937803274205,0.2561093747578583,1.5643066355441841,0.25790779446696976
