dataset,variable,alpha,base_mse,corrected_mse,improvement_pct
ETTm1,HUFL,0.353279889318934,0.7840476844244707,0.7812953306883395,0.3510441763694021
ETTm1,HULL,-0.1274814092859151,1.1801491330313298,1.1800034146521432,0.012347454665526158
ETTm1,MUFL,0.2580447087607224,0.7795174696118143,0.7779237779508505,0.20444591982748272
ETTm1,MULL,0.47822524689744017,1.0921102655222745,1.0918938011446233,0.019820743791625902
ETTm1,LUFL,0.4892516551962505,1.4368770271874212,1.4344676133639471,0.16768406606028663
ETTm1,LULL,-2.5051382963216,1.323951711215295,1.306055937419585,1.3516938453354073
ETTm1,OT,-2.10200972705264,0.13301549104352656,0.13148968116039766,1.14709186964517
ETTm2,HUFL,0.6253935272404292,0.36754791035213324,0.36724509348674295,0.08238840620809992
ETTm2,HULL,2.8234524935043366,0.38045202247273374,0.3740728290947972,1.6767405615234192
ETTm2,MUFL,1.7853753361354388,0.11360935364062236,0.11231029319860564,1.1434449720803845
ETTm2,MULL,1.4487553428616515,0.5516064124147011,0.5487948913366816,0.5096969532518415
ETTm2,LUFL,-3.8979930689412052,0.39584085801268876,0.38791630049210085,2.00195542228081
ETTm2,LULL,0.6953204041214883,0.016822834228663118,0.016800803076822537,0.13095981058318554
ETTm2,OT,5.741460570041243,0.26017937803274205,0.25627996807574066,1.4987390570634194
