dataset,variant,input_features,validation_mse,vs_recent96_improvement_pct,fraction_of_raw336_gain
ETTm1,recent96,96,0.8920824415937801,0.0,0.0
ETTm1,old_pool16,111,0.8627949579088767,3.2830467588375427,0.9096988489569636
ETTm1,old_pool8,126,0.8608467031612268,3.5014407835163834,0.970213610842282
ETTm1,old_pool4,156,0.859839239807456,3.614374667964424,1.0015064410202468
ETTm1,raw336,336,0.8598877392277349,3.6089380156980484,1.0
ETTm2,recent96,96,0.46927783839749804,0.0,0.0
ETTm2,old_pool16,111,0.4088592390099632,12.87480346266805,0.9717192395062358
ETTm2,old_pool8,126,0.4079783450903028,13.062516124034822,0.9858867570980897
ETTm2,old_pool4,156,0.4073132740862761,13.204238351169558,0.996583170070281
ETTm2,raw336,336,0.40710082580872226,13.24950967237222,1.0
