dataset,pred_len,base_mse,shared_mse,per_mse,base_mae,shared_mae,per_mae,per_vs_base_mse_pct,per_vs_shared_mse_pct,fit_split,evaluation_split,test_accessed
ETTm1,96,0.40069653651658926,0.626426098064245,0.6987749956676932,0.41853639028488976,0.5451315066500655,0.557803043541566,-74.39007627628025,-11.549470532440724,train,val,False
ETTm2,96,0.1290290873778839,0.13048931422824347,0.2643164852309677,0.24820007920849008,0.2464008535270059,0.3402918368199722,-104.85030980407646,-102.55795410851985,train,val,False
ETTm1,720,0.9635514081381905,2.2433231103422413,3.2347583941696683,0.6564324666681455,1.0971778464167046,1.2977783629721602,-235.7120717014972,-44.19493916220449,train,val,False
ETTm2,720,0.2960342684052416,0.7670742757367043,4.44389112116952,0.37394442621237306,0.6026817050658431,1.401940007782385,-1401.1407784338915,-479.32996343823044,train,val,False
