factor,dataset,horizon,seed,seq_len,recent_len,pool,mse,mae,parameter_count,record
pool,ETTm1,720,2021,336,96,8,0.9363751004256476,0.6385034767630183,6836397,/home/cwh/Time-Series-Library/logs/timerole_p0/sensitivity/records/sensitivity_pool_ettm1_h720_l336_r96_p8_s2021.json
pool,ETTm1,720,2021,336,96,24,0.9352679004842107,0.6399492852631912,6835757,/home/cwh/Time-Series-Library/logs/timerole_p0/sensitivity/records/sensitivity_pool_ettm1_h720_l336_r96_p24_s2021.json
recent,ETTm2,96,2021,336,48,16,0.12224229993578715,0.24246853518289763,555597,/home/cwh/Time-Series-Library/logs/timerole_p0/sensitivity/records/sensitivity_recent_ettm2_h96_l336_r48_p16_s2021.json
recent,ETTm2,96,2021,336,192,16,0.12292554234767737,0.24092712249111928,1900845,/home/cwh/Time-Series-Library/logs/timerole_p0/sensitivity/records/sensitivity_recent_ettm2_h96_l336_r192_p16_s2021.json
pool,ETTm2,96,2021,336,96,8,0.12188406180848525,0.24195272078796812,1004493,/home/cwh/Time-Series-Library/logs/timerole_p0/sensitivity/records/sensitivity_pool_ettm2_h96_l336_r96_p8_s2021.json
pool,ETTm2,96,2021,336,96,24,0.12262021281737343,0.24274283993526138,1003853,/home/cwh/Time-Series-Library/logs/timerole_p0/sensitivity/records/sensitivity_pool_ettm2_h96_l336_r96_p24_s2021.json
recent,ETTm2,720,2021,336,48,16,0.28778386261679545,0.3714539345160253,3482157,/home/cwh/Time-Series-Library/logs/timerole_p0/sensitivity/records/sensitivity_recent_ettm2_h720_l336_r48_p16_s2021.json
recent,ETTm2,720,2021,336,192,16,0.27033712660735,0.35785537715622945,13543437,/home/cwh/Time-Series-Library/logs/timerole_p0/sensitivity/records/sensitivity_recent_ettm2_h720_l336_r192_p16_s2021.json
pool,ETTm2,720,2021,336,96,8,0.2770962780107419,0.3594592504248945,6836397,/home/cwh/Time-Series-Library/logs/timerole_p0/sensitivity/records/sensitivity_pool_ettm2_h720_l336_r96_p8_s2021.json
pool,ETTm2,720,2021,336,96,24,0.2777636274357611,0.3598239094333794,6835757,/home/cwh/Time-Series-Library/logs/timerole_p0/sensitivity/records/sensitivity_pool_ettm2_h720_l336_r96_p24_s2021.json
history,ETTm1,96,2022,192,96,16,0.37591121163308105,0.40609355368837285,1003725,/home/cwh/Time-Series-Library/logs/timerole_p0/sensitivity/records/sensitivity_history_ettm1_h96_l192_r96_p16_s2022.json
history,ETTm1,96,2022,336,96,16,0.36887038328976285,0.4020315230606968,1004013,/home/cwh/Time-Series-Library/logs/timerole_p0/sensitivity/records/sensitivity_history_ettm1_h96_l336_r96_p16_s2022.json
history,ETTm1,96,2022,720,96,16,0.3762459618108427,0.40752076932337306,1004781,/home/cwh/Time-Series-Library/logs/timerole_p0/sensitivity/records/sensitivity_history_ettm1_h96_l720_r96_p16_s2022.json
history,ETTm1,96,2022,960,96,16,0.3732240238807792,0.40796807277099506,1005261,/home/cwh/Time-Series-Library/logs/timerole_p0/sensitivity/records/sensitivity_history_ettm1_h96_l960_r96_p16_s2022.json
history,ETTm1,720,2022,192,96,16,0.9461961488273885,0.6435569965751949,6835629,/home/cwh/Time-Series-Library/logs/timerole_p0/sensitivity/records/sensitivity_history_ettm1_h720_l192_r96_p16_s2022.json
history,ETTm1,720,2022,336,96,16,0.9378185867908138,0.6390822878394242,6835917,/home/cwh/Time-Series-Library/logs/timerole_p0/sensitivity/records/sensitivity_history_ettm1_h720_l336_r96_p16_s2022.json
history,ETTm1,720,2022,720,96,16,0.9194648605182244,0.6372916737562788,6836685,/home/cwh/Time-Series-Library/logs/timerole_p0/sensitivity/records/sensitivity_history_ettm1_h720_l720_r96_p16_s2022.json
history,ETTm1,720,2022,960,96,16,0.9023715197524517,0.6348136113411934,6837165,/home/cwh/Time-Series-Library/logs/timerole_p0/sensitivity/records/sensitivity_history_ettm1_h720_l960_r96_p16_s2022.json
history,ETTm2,96,2022,192,96,16,0.12161770014163167,0.23915733818760934,1003725,/home/cwh/Time-Series-Library/logs/timerole_p0/sensitivity/records/sensitivity_history_ettm2_h96_l192_r96_p16_s2022.json
history,ETTm2,96,2022,336,96,16,0.1265490962540568,0.24569370763456125,1004013,/home/cwh/Time-Series-Library/logs/timerole_p0/sensitivity/records/sensitivity_history_ettm2_h96_l336_r96_p16_s2022.json
history,ETTm2,96,2022,720,96,16,0.12326806572038357,0.24306244761021892,1004781,/home/cwh/Time-Series-Library/logs/timerole_p0/sensitivity/records/sensitivity_history_ettm2_h96_l720_r96_p16_s2022.json
history,ETTm2,96,2022,960,96,16,0.12236259807754808,0.2424860871368564,1005261,/home/cwh/Time-Series-Library/logs/timerole_p0/sensitivity/records/sensitivity_history_ettm2_h96_l960_r96_p16_s2022.json
history,ETTm2,720,2022,192,96,16,0.2775743232744194,0.3582707412430029,6835629,/home/cwh/Time-Series-Library/logs/timerole_p0/sensitivity/records/sensitivity_history_ettm2_h720_l192_r96_p16_s2022.json
history,ETTm2,720,2022,336,96,16,0.27418926051430237,0.36110492090380925,6835917,/home/cwh/Time-Series-Library/logs/timerole_p0/sensitivity/records/sensitivity_history_ettm2_h720_l336_r96_p16_s2022.json
