dataset,pred_len,paired_seeds,baseline_val_mean,baseline_val_std,darc_val_mean,darc_val_std,val_improvement_pct,baseline_val_mae_mean,baseline_val_mae_std,darc_val_mae_mean,darc_val_mae_std,val_mae_improvement_pct,baseline_test_mean,baseline_test_std,darc_test_mean,darc_test_std,test_improvement_pct,baseline_test_mae_mean,baseline_test_mae_std,darc_test_mae_mean,darc_test_mae_std,test_mae_improvement_pct,test_mse_seed_wins,test_mae_seed_wins
ETTh1,96,3,0.6950300478391018,0.0029788155806670393,0.6927080649831704,0.002839434247373022,0.3340838087721024,0.5502545395804092,0.0018036309290465344,0.5489835143520732,0.002039596193804547,0.23098859471567557,0.37436944246292114,0.0016457336460613523,0.37225765983263653,0.00012993785333349707,0.5640905455294384,0.39374754826227826,0.0005236629936144716,0.3926391402880351,0.0010600845013641845,0.2815021907145553,3,3
ETTh1,192,3,1.0006410540242006,0.0019943223616208333,0.9982153170090795,0.0012295642258276236,0.24241829828644906,0.6568102123606351,0.0013997425846404546,0.6549698730915325,0.00034863459281929133,0.2801934614396748,0.42171217997868854,0.001147981280599707,0.42364442348480225,0.001399565794413432,-0.4581901111348867,0.4221550424893697,0.0009734446783441607,0.4222852985064189,0.0013700794284596716,-0.030855018639856856,0,1
ETTh1,336,3,1.29338736423167,0.003775371883390992,1.2955947440038351,0.0053127323537195655,-0.17066656387789914,0.7582175639152497,0.0010999913951039685,0.7582111017243751,0.0024880870239893946,0.0008522871511001562,0.4736310342947642,0.009918748886775415,0.4690794150034587,0.009325695183738554,0.9610052892929398,0.4422737459341685,0.002491684541836389,0.4413401583830516,0.002089679050199823,0.21108816874151645,2,2
ETTh1,720,3,1.5792437668270527,0.004094605058752621,1.5805459111314328,0.003780931222878563,-0.08245366115937557,0.8526576939856744,0.003162376284284008,0.8524689355145723,0.0031802093597793216,0.022137661154475456,0.4847322503725688,0.0041600623529113225,0.48462723692258197,0.004912585229729035,0.021664217700823208,0.46481523911158246,0.003570403256951671,0.463939090569814,0.0019400955546432794,0.18849393652476673,2,2
ETTh2,96,3,0.2175265435769448,0.0012067268392187518,0.21676943775920676,0.001160065101813078,0.3480521527572639,0.31763105186045393,0.0005829657124380931,0.3167369934795813,0.0007242824886637331,0.2814770078793909,0.2983565429846446,0.004646541950191297,0.29708098371823627,0.006186935807436745,0.42752850453625557,0.3471757372220357,0.0033997877280353196,0.34650883078575134,0.00477326961530739,0.192094770683196,3,2
ETTh2,192,3,0.2750233387096608,0.0023623230984835225,0.2757293261430214,0.0023364090250540545,-0.2567009173377637,0.355472596201276,0.0015761896747051275,0.3556346235561415,0.0015109949728034924,-0.04558082861997499,0.36864322423934937,0.0043588206017063785,0.36820972959200543,0.003928702257195709,0.1175919205455081,0.3927629292011261,0.00387249511543268,0.392458697160085,0.0036351584385051106,0.07745945923661335,2,3
ETTh2,336,3,0.36082852417556127,0.0023154078695105367,0.3612638497209317,0.0032351276165683137,-0.12064610090487028,0.4041227614553158,0.001841867174059503,0.404249335506448,0.0027536267987529105,-0.03132069341414599,0.4179940124352773,0.004690897519677447,0.4171997805436452,0.003972729964429904,0.1900103513456571,0.4298709233601888,0.003164906456173231,0.4295995036760966,0.004069212145982558,0.06313980996215095,2,2
ETTh2,720,3,0.6103602353325562,0.01484285333306979,0.6101618989077279,0.014779073326815858,0.032494978104249575,0.5404486598965563,0.007702929049092535,0.5402922335348143,0.007783697747737028,0.028943796765451977,0.4444044729073842,0.0017381723369406141,0.4441979030768077,0.0021777881894554743,0.04648239231822309,0.45441970229148865,0.002221256950355672,0.45316166679064435,0.0007603580141036427,0.27684440056195697,2,3
ETTm1,96,3,0.397498967186383,0.0036524350088427593,0.3946999725886886,0.00497538357961545,0.7041514139034164,0.4168798555288884,0.002090953307703601,0.4143803183621951,0.003447054790322197,0.59958214184329,0.3336626986662547,0.004225743519205948,0.33300002415974933,0.0042062353460129666,0.19860611004894077,0.37101977070172626,0.003109013166793163,0.36948516964912415,0.004437108672902367,0.4136170559589464,2,1
ETTm1,192,3,0.5124788991813944,0.003364935903087485,0.5107519420313158,0.0037973017460501946,0.3369811230934954,0.47889048083783525,0.0010888360880183078,0.47721187389408687,0.002600690692622186,0.3505200063303835,0.36612240473429364,0.00413981752433622,0.3644409080346425,0.0024360282882342206,0.45927172931998894,0.3909466862678528,0.0016716614198950743,0.39023301005363464,0.0019052689145846065,0.18255077719962365,2,2
