dataset,pred_len,seed,baseline_mse,cmrhm_mse,mse_improvement_pct,baseline_mae,cmrhm_mae,mae_improvement_pct,baseline_best_epoch,cmrhm_best_epoch
ETTm1,96,2021,0.38651705420016,0.37327634208013805,3.425647581688647,0.4086433224659656,0.4028114363803607,1.4271335820226407,6,6
ETTm1,720,2021,0.9465086945851661,0.9294337910894976,1.8039880239189963,0.6437101837461422,0.6334202091750741,1.5985415223951287,8,4
ETTm2,96,2021,0.12488314598193202,0.12359424684374881,1.03208413597275,0.24163273824755568,0.24078408948304666,0.3512143141959382,2,2
ETTm2,720,2021,0.29174696097317193,0.2805609801134485,3.834137919521317,0.3702948154719769,0.36146267869869714,2.385163497907024,4,4
