dataset,seq_len,pred_len,validation_mse,ridge,train_samples,validation_samples,vs_96_improvement_pct
ETTm1,96,720,0.8920824415937801,33.41654280561077,33505,10801,0.0
ETTm1,192,720,0.8659663227428736,33.38649553677465,33505,10801,2.927545441231637
ETTm1,336,720,0.8598877392277349,33.3268356012959,33505,10801,3.6089380156980484
ETTm2,96,720,0.46927783839749804,33.95454976975471,33505,10801,0.0
ETTm2,192,720,0.44012101591320646,33.91118256797306,33505,10801,6.213125807060704
ETTm2,336,720,0.40710082580872226,33.85123980348681,33505,10801,13.24950967237222
