dataset,pred_len,seed,model,periodic_backbone_active,validation_mse,validation_mae,test_mse,test_mae,result_source
ETTh1,96,2021,GraphMambaCMRHM,True,0.680194934457859,0.5484401367460141,0.3730880320072174,0.39741504192352295,new_overnight_run
ETTh1,192,2021,GraphMambaCMRHM,True,0.9572204992194365,0.6489601730909809,0.4182927906513214,0.4264770746231079,new_overnight_run
ETTh1,336,2021,GraphMambaCMRHM,True,1.2444361061897746,0.7495800832151377,0.45279353857040405,0.44287216663360596,new_overnight_run
ETTh1,720,2021,GraphMambaCMRHM,True,1.4632098952250574,0.8306601201838324,0.4866975247859955,0.47199127078056335,new_overnight_run
ETTh2,96,2021,GraphMambaCMRHM,True,0.2150344621404436,0.32226369858929527,0.28704777359962463,0.34694069623947144,new_overnight_run
ETTh2,192,2021,GraphMambaCMRHM,True,0.29361707061525466,0.3721289931350349,0.3351253271102905,0.3790492117404938,new_overnight_run
ETTh2,336,2021,GraphMambaCMRHM,True,0.38560007052842626,0.42748118371857585,0.3636535108089447,0.40384748578071594,new_overnight_run
ETTh2,720,2021,GraphMambaCMRHM,True,0.6144282018292576,0.5505642676725943,0.42011427879333496,0.44566407799720764,new_overnight_run
ETTm1,96,2021,GraphMambaCMRHM,False,0.36555982886844346,0.398636661876151,0.2950538992881775,0.3487284481525421,reused_existing_one_shot_test
ETTm1,192,2021,GraphMambaCMRHM,False,0.48078013696058786,0.46060922740324106,0.3318106532096863,0.3740169107913971,reused_existing_one_shot_test
ETTm1,336,2021,GraphMambaCMRHM,False,0.6224400361064324,0.5233821398832569,0.3705420196056366,0.3950028717517853,reused_existing_one_shot_test
ETTm1,720,2021,GraphMambaCMRHM,False,0.9400004502334256,0.6397543385814374,0.42354199290275574,0.42606303095817566,reused_existing_one_shot_test
ETTm2,96,2021,GraphMambaCMRHM,False,0.12291466004130268,0.24302524385196883,0.17185743153095245,0.26104092597961426,reused_existing_one_shot_test
ETTm2,192,2021,GraphMambaCMRHM,False,0.1616830469834837,0.2776145029683509,0.22510570287704468,0.2954224646091461,reused_existing_one_shot_test
ETTm2,336,2021,GraphMambaCMRHM,False,0.21440705809129573,0.3208749137249369,0.2914232611656189,0.3407357335090637,reused_existing_one_shot_test
ETTm2,720,2021,GraphMambaCMRHM,False,0.2786508198134717,0.35967733572065547,0.37522217631340027,0.38984760642051697,reused_existing_one_shot_test
weather,96,2021,GraphMambaCMRHM,False,0.38365025392422214,0.2691728420709505,0.1462111473083496,0.1966434121131897,new_overnight_run
weather,192,2021,GraphMambaCMRHM,False,0.4499114554469259,0.31155879198507336,0.1877095252275467,0.23579229414463043,new_overnight_run
weather,336,2021,GraphMambaCMRHM,False,0.5303996194792506,0.36951107262853533,0.24200038611888885,0.278119295835495,new_overnight_run
weather,720,2021,GraphMambaCMRHM,False,0.6444935399453787,0.4406900181635795,0.31817513704299927,0.33138200640678406,new_overnight_run
solar,96,2021,GraphMambaCMRHM,False,0.1523898408484252,0.21962147965583487,0.19971461594104767,0.25275862216949463,new_overnight_run
solar,192,2021,GraphMambaCMRHM,False,0.16927397235375566,0.2338633504021549,0.22743776440620422,0.2721284329891205,new_overnight_run
solar,336,2021,GraphMambaCMRHM,False,0.17982456123106527,0.24276615871511098,0.2414090931415558,0.28297659754753113,new_overnight_run
solar,720,2021,GraphMambaCMRHM,False,0.16843405258898136,0.2373832850454745,0.2376740425825119,0.28287652134895325,new_overnight_run
