model,variant,variant_label,dataset,horizon,seed,validation_mse,validation_mae,parameter_count,record
GraphMambaRecent,no_decomp,w/o Decomp,ETTm1,96,2022,0.39663843324833564,0.4161566235962741,988070,/home/cwh/Time-Series-Library/logs/timerole_p0/recent_backbone/seed2022/records/table2_ettm1_p96_no_decomp_s2022.json
GraphMambaRecent,no_decomp,w/o Decomp,ETTm1,720,2022,0.9449241626197897,0.6529074105465461,6739478,/home/cwh/Time-Series-Library/logs/timerole_p0/recent_backbone/seed2022/records/table2_ettm1_p720_no_decomp_s2022.json
GraphMambaRecent,no_decomp,w/o Decomp,ETTm2,96,2022,0.12981944595337708,0.2475770383856502,988070,/home/cwh/Time-Series-Library/logs/timerole_p0/recent_backbone/seed2022/records/table2_ettm2_p96_no_decomp_s2022.json
GraphMambaRecent,no_decomp,w/o Decomp,ETTm2,720,2022,0.28839657499143734,0.3712027230792673,6739478,/home/cwh/Time-Series-Library/logs/timerole_p0/recent_backbone/seed2022/records/table2_ettm2_p720_no_decomp_s2022.json
GraphMambaRecent,no_patch,w/o Patch,ETTm1,96,2022,0.3991344194868349,0.4145168902782819,702214,/home/cwh/Time-Series-Library/logs/timerole_p0/recent_backbone/seed2022/records/table2_ettm1_p96_no_patch_s2022.json
GraphMambaRecent,no_patch,w/o Patch,ETTm1,720,2022,0.9629384498874756,0.6562956959228725,4597222,/home/cwh/Time-Series-Library/logs/timerole_p0/recent_backbone/seed2022/records/table2_ettm1_p720_no_patch_s2022.json
GraphMambaRecent,no_patch,w/o Patch,ETTm2,96,2022,0.13264692634247835,0.24806945663448968,702214,/home/cwh/Time-Series-Library/logs/timerole_p0/recent_backbone/seed2022/records/table2_ettm2_p96_no_patch_s2022.json
GraphMambaRecent,no_patch,w/o Patch,ETTm2,720,2022,0.29103246498156404,0.3732132222007065,4597222,/home/cwh/Time-Series-Library/logs/timerole_p0/recent_backbone/seed2022/records/table2_ettm2_p720_no_patch_s2022.json
GraphMambaRecent,uni_mamba,Uni-Mamba,ETTm1,96,2022,0.41002574661889274,0.4219505975931352,958854,/home/cwh/Time-Series-Library/logs/timerole_p0/recent_backbone/seed2022/records/table2_ettm1_p96_uni_mamba_s2022.json
GraphMambaRecent,uni_mamba,Uni-Mamba,ETTm1,720,2022,0.9733837349073352,0.6604938076744253,6770790,/home/cwh/Time-Series-Library/logs/timerole_p0/recent_backbone/seed2022/records/table2_ettm1_p720_uni_mamba_s2022.json
GraphMambaRecent,uni_mamba,Uni-Mamba,ETTm2,96,2022,0.13353867412246961,0.25243478927262514,958854,/home/cwh/Time-Series-Library/logs/timerole_p0/recent_backbone/seed2022/records/table2_ettm2_p96_uni_mamba_s2022.json
GraphMambaRecent,uni_mamba,Uni-Mamba,ETTm2,720,2022,0.29039146243531977,0.36940432376960153,6770790,/home/cwh/Time-Series-Library/logs/timerole_p0/recent_backbone/seed2022/records/table2_ettm2_p720_uni_mamba_s2022.json
GraphMambaRecent,no_mamba,w/o Mamba,ETTm1,96,2022,0.3849346291900886,0.40871441458642166,903366,/home/cwh/Time-Series-Library/logs/timerole_p0/recent_backbone/seed2022/records/table2_ettm1_p96_no_mamba_s2022.json
GraphMambaRecent,no_mamba,w/o Mamba,ETTm1,720,2022,0.9635916547469333,0.6496310785416052,6715302,/home/cwh/Time-Series-Library/logs/timerole_p0/recent_backbone/seed2022/records/table2_ettm1_p720_no_mamba_s2022.json
GraphMambaRecent,no_mamba,w/o Mamba,ETTm2,96,2022,0.12679913872838752,0.24575946332067578,903366,/home/cwh/Time-Series-Library/logs/timerole_p0/recent_backbone/seed2022/records/table2_ettm2_p96_no_mamba_s2022.json
GraphMambaRecent,no_mamba,w/o Mamba,ETTm2,720,2022,0.28349051721034063,0.3663259660982899,6715302,/home/cwh/Time-Series-Library/logs/timerole_p0/recent_backbone/seed2022/records/table2_ettm2_p720_no_mamba_s2022.json
GraphMambaRecent,no_graph,w/o Graph,ETTm1,96,2022,0.40889979929207043,0.42128454962210987,988992,/home/cwh/Time-Series-Library/logs/timerole_p0/recent_backbone/seed2022/records/table2_ettm1_p96_no_graph_s2022.json
GraphMambaRecent,no_graph,w/o Graph,ETTm1,720,2022,0.9695502955111078,0.6579335968900955,6800928,/home/cwh/Time-Series-Library/logs/timerole_p0/recent_backbone/seed2022/records/table2_ettm1_p720_no_graph_s2022.json
GraphMambaRecent,no_graph,w/o Graph,ETTm2,96,2022,0.1311967025956375,0.25045770217245217,988992,/home/cwh/Time-Series-Library/logs/timerole_p0/recent_backbone/seed2022/records/table2_ettm2_p96_no_graph_s2022.json
GraphMambaRecent,no_graph,w/o Graph,ETTm2,720,2022,0.28885744480860365,0.3719077176272121,6800928,/home/cwh/Time-Series-Library/logs/timerole_p0/recent_backbone/seed2022/records/table2_ettm2_p720_no_graph_s2022.json
