dataset,horizon,variant,variant_label,n,mse_mean,mse_std,mae_mean,mae_std
Weather,96,no_patch,w/o Patch,3,0.14501479327554392,0.00024228952331141975,0.19513955204135494,0.0004762811026812621
Weather,192,full,TimeRole (Full),3,0.18804573019345602,0.0003691281009527681,0.2368517518043518,0.0011982718401090068
Weather,192,no_decomp,w/o Decomposition,3,0.1877438777293399,0.0001814611731575909,0.2389183352063549,0.0007244048291533584
Weather,192,no_dhc,w/o DHC,3,0.20610362269746665,0.000309168467716886,0.2503004014548477,0.0009914131826558846
Weather,192,no_graph,w/o Graph,3,0.1887161566714105,0.0005498385149621996,0.23738875397788517,0.000668502661362457
Weather,192,no_mamba,w/o Mamba,3,0.2032883551575108,0.001192631167912989,0.24761797975846814,0.0009072839719501299
Weather,192,no_patch,w/o Patch,3,0.18826018478018405,0.0008570370227325478,0.23706661945754748,0.0007360592477574264
Weather,336,full,TimeRole (Full),3,0.24157377084096274,0.0003712803418107544,0.2776183485984802,0.00046356048295696724
Weather,336,no_decomp,w/o Decomposition,3,0.24032803742012546,0.0005701664361004754,0.27907312794816014,0.0013824570162747666
Weather,336,no_dhc,w/o DHC,3,0.2643634557822122,0.0004827901578931908,0.2921968846580489,0.0010394205534229658
Weather,336,no_graph,w/o Graph,3,0.24187276759209445,0.00036898735838535203,0.2785858823781036,0.0003440912364509781
Weather,336,no_mamba,w/o Mamba,3,0.253401824496497,0.0004308901291222327,0.2852132163574236,0.0005395745295110891
Weather,336,no_patch,w/o Patch,3,0.24010576200097158,0.000829670530197746,0.27696272920190596,0.0006014150708453922
Weather,720,full,TimeRole (Full),3,0.3177015980084737,0.00044818736986456276,0.33145010471343994,0.00026684726370893854
Weather,720,no_decomp,w/o Decomposition,3,0.3164957299063927,0.00029409093093944917,0.33235471124293164,0.0006612050393018515
Weather,720,no_dhc,w/o DHC,3,0.3451282989296198,0.0008714135999922969,0.34416900991575206,0.0004727982582541281
Weather,720,no_graph,w/o Graph,3,0.31771005781431566,0.0013053099511632854,0.33147009144441775,0.001109855351551241
Weather,720,no_mamba,w/o Mamba,3,0.32265085202242944,0.00021786015988357,0.33441846981193896,0.00021880681584275413
Weather,720,no_patch,w/o Patch,3,0.3159097780506991,0.0011161463224104336,0.32956514902798995,0.000509249444290256
