dataset,horizon,variant,variant_label,seed,validation_best_mse,validation_best_mae,test_mse,test_mae,result_source,test_access
ETTm1,336,no_dhc,w/o DHC,2022,0.6605555830601896,0.544906834439569,0.40210646390914917,0.41426941752433777,protocol_matched_frozen_record,reused_frozen_test_record
ETTm1,336,no_dhc,w/o DHC,2023,0.6581120282859735,0.5428177274346261,0.39019158482551575,0.40921640396118164,protocol_matched_frozen_record,reused_frozen_test_record
ETTm1,336,no_decomp,w/o Decomposition,2021,0.6221160176957916,0.5263249765608251,0.3696737576117701,0.3928440093820133,,one_shot_after_validation_selection
ETTm1,336,no_decomp,w/o Decomposition,2022,0.6234765923903158,0.526048590254214,0.3653759950342103,0.3913956239407573,,one_shot_after_validation_selection
ETTm1,336,no_decomp,w/o Decomposition,2023,0.6233231149732468,0.5260636987843025,0.36696220850067157,0.3919548882316603,,one_shot_after_validation_selection
ETTm1,336,no_patch,w/o Patch,2021,0.6329723705740119,0.5303308716750209,0.38106369301560516,0.4003861173235848,,one_shot_after_validation_selection
ETTm1,336,no_patch,w/o Patch,2022,0.6201728471324077,0.5217778705055656,0.3695308824218738,0.3938629475297467,,one_shot_after_validation_selection
ETTm1,336,no_patch,w/o Patch,2023,0.6297956725406587,0.5285067898725587,0.36794091273163404,0.39470284847671466,,one_shot_after_validation_selection
ETTm1,336,no_mamba,w/o Mamba,2021,0.6313212217513797,0.5244958500808193,0.3613020971871161,0.38804316357457364,,one_shot_after_validation_selection
ETTm1,336,no_mamba,w/o Mamba,2022,0.6357826268291685,0.5266321781422671,0.3633903614573973,0.38844271828786275,,one_shot_after_validation_selection
ETTm1,336,no_mamba,w/o Mamba,2023,0.633010634298754,0.5250480948248278,0.36362568002176077,0.38929009600852593,,one_shot_after_validation_selection
ETTm1,336,no_graph,w/o Graph,2021,0.6324356875777594,0.5274403479130603,0.3686292064850813,0.39392182851929675,,one_shot_after_validation_selection
ETTm1,336,no_graph,w/o Graph,2022,0.6264359495924369,0.5257715448535178,0.3678674176346437,0.3952909718823863,,one_shot_after_validation_selection
ETTm1,336,no_graph,w/o Graph,2023,0.632111393947544,0.5279700062767584,0.36730293233857647,0.39387009124840777,,one_shot_after_validation_selection
ETTm1,720,full,TimeRole (Full),2021,0.9400004502334256,0.6397543385814374,0.42354199290275574,0.42606303095817566,protocol_matched_frozen_record,reused_frozen_test_record
ETTm1,720,full,TimeRole (Full),2022,0.9378184969507893,0.6390822574861252,0.43063318729400635,0.4301426112651825,protocol_matched_frozen_record,reused_frozen_test_record
