dataset,variant,base_mse,direct_mse,direct_improvement_pct,corrected_mse,corrected_improvement_pct,coefficient,row_entropy,mean_self_mass,mean_max_mass
ETTm1,current,0.9613812545765902,0.9613812545765902,0.0,0.9613812545765902,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.28439924120903015,0.5364801287651062,0.883171796798706
ETTm1,masked_dot,0.9613812545765902,0.9607678642623603,0.06380302417068237,0.9602346036391205,0.11927119776999295,"[0.56301326816257, 11.632405368023889, 0.1743218716578111, 3.701723065631184, 0.9938651586866283, 0.8289644054217119, 0.9162799121199818]",0.2920094430446625,0.0,0.9057339429855347
ETTm1,cosine,0.9613812545765902,0.9606994689042752,0.07091730456251699,0.9595849672067019,0.1868444346441263,"[0.8533252884612809, -0.39278948633060184, 1.8012785114850902, -0.3717245970696299, 1.0440581146008305, 2.3363653356979754, 1.4105885781805205]",1.8008859157562256,0.27800121903419495,0.27800121903419495
ETTm1,masked_cosine,0.9613812545765902,0.9596550237632294,0.1795573613634714,0.9591553708100999,0.23152976572968068,"[0.9364028011787418, 0.23929770835532005, 1.7601744937218164, 0.39051499185220073, 0.9995700138245417, 1.8242855073502275, 1.04634775351872]",1.6787545680999756,0.0,0.2956720292568207
ETTm2,current,0.29800839559346914,0.29800839559346914,0.0,0.29800839559346914,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.2239101380109787,0.8494755029678345,0.9304617047309875
ETTm2,masked_dot,0.29800839559346914,0.29688760153672084,0.3760947924021745,0.29597722807865284,0.6815806349251773,"[0.607708486066104, 3.1855173656140994, 0.8547339775482545, 0.4094227466495986, 1.1481271319953734, 0.033398890435787844, 2.8886959249299218]",0.32825109362602234,0.0,0.883393406867981
ETTm2,cosine,0.29800839559346914,0.2976204718077865,0.13017209965179372,0.29595182209644516,0.6901058921271054,"[2.9721551039548673, 2.85441759465347, 2.2746855231311787, 0.1545119197258839, 1.8239306251219645, -0.392135408248389, -1.7679414614556683]",1.8095967769622803,0.30264613032341003,0.30264613032341003
ETTm2,masked_cosine,0.29800839559346914,0.2976529075740753,0.11928792096138693,0.29585629969922184,0.7221594847895189,"[1.7637955716414122, 2.01812475810388, 1.4699974291919646, 0.15915495471035435, 1.3577161767843198, -0.26997408400924944, -1.3915924292811297]",1.7179107666015625,0.0,0.28496184945106506
