dataset,variant,variable,coefficient,base_mse,corrected_mse,corrected_improvement_pct
ETTm1,current,HUFL,0.0,0.7840476844244707,0.7840476844244707,0.0
ETTm1,current,HULL,0.0,1.1801491330313298,1.1801491330313298,0.0
ETTm1,current,MUFL,0.0,0.7795174696118143,0.7795174696118143,0.0
ETTm1,current,MULL,0.0,1.0921102655222745,1.0921102655222745,0.0
ETTm1,current,LUFL,0.0,1.4368770271874212,1.4368770271874212,0.0
ETTm1,current,LULL,0.0,1.323951711215295,1.323951711215295,0.0
ETTm1,current,OT,0.0,0.13301549104352656,0.13301549104352656,0.0
ETTm1,masked_dot,HUFL,0.56301326816257,0.7840476844244707,0.7839472287676441,0.012812442256025763
ETTm1,masked_dot,HULL,11.632405368023889,1.1801491330313298,1.1788426787402217,0.1107024743349459
ETTm1,masked_dot,MUFL,0.1743218716578111,0.7795174696118143,0.7794309247358762,0.011102365156905956
ETTm1,masked_dot,MULL,3.701723065631184,1.0921102655222745,1.0911581326951578,0.08718284748118992
ETTm1,masked_dot,LUFL,0.9938651586866283,1.4368770271874212,1.4325991578857402,0.29771993154170995
ETTm1,masked_dot,LULL,0.8289644054217119,1.323951711215295,1.3228961230462486,0.07973011100815967
ETTm1,masked_dot,OT,0.9162799121199818,0.13301549104352656,0.13276797960295456,0.18607715434513442
ETTm1,cosine,HUFL,0.8533252884612809,0.7840476844244707,0.7823415184838453,0.2176099712452894
ETTm1,cosine,HULL,-0.39278948633060184,1.1801491330313298,1.1797774364806188,0.031495727133762315
ETTm1,cosine,MUFL,1.8012785114850902,0.7795174696118143,0.7770122292349041,0.32138348075224143
ETTm1,cosine,MULL,-0.3717245970696299,1.0921102655222745,1.091852235882278,0.02362670218772758
ETTm1,cosine,LUFL,1.0440581146008305,1.4368770271874212,1.4344735940574698,0.16726783743323764
ETTm1,cosine,LULL,2.3363653356979754,1.323951711215295,1.3188576687615576,0.3847604418337412
ETTm1,cosine,OT,1.4105885781805205,0.13301549104352656,0.13278008754624038,0.176974497811799
ETTm1,masked_cosine,HUFL,0.9364028011787418,0.7840476844244707,0.7814575964102197,0.33034827673169276
ETTm1,masked_cosine,HULL,0.23929770835532005,1.1801491330313298,1.1802106258435363,-0.005210596736067983
ETTm1,masked_cosine,MUFL,1.7601744937218164,0.7795174696118143,0.7752247740464692,0.5506862556246311
ETTm1,masked_cosine,MULL,0.39051499185220073,1.0921102655222745,1.0921463871706587,-0.0033075092803843825
ETTm1,masked_cosine,LUFL,0.9995700138245417,1.4368770271874212,1.4335002390332525,0.23500884837573408
ETTm1,masked_cosine,LULL,1.8242855073502275,1.323951711215295,1.3187675923530462,0.39156404409116474
ETTm1,masked_cosine,OT,1.04634775351872,0.13301549104352656,0.13278038081351648,0.1767540217801716
ETTm2,current,HUFL,0.0,0.36754791035213324,0.36754791035213324,0.0
ETTm2,current,HULL,0.0,0.38045202247273374,0.38045202247273374,0.0
ETTm2,current,MUFL,0.0,0.11360935364062236,0.11360935364062236,0.0
ETTm2,current,MULL,0.0,0.5516064124147011,0.5516064124147011,0.0
ETTm2,current,LUFL,0.0,0.39584085801268876,0.39584085801268876,0.0
ETTm2,current,LULL,0.0,0.016822834228663118,0.016822834228663118,0.0
ETTm2,current,OT,0.0,0.26017937803274205,0.26017937803274205,0.0
ETTm2,masked_dot,HUFL,0.607708486066104,0.36754791035213324,0.3662055643639135,0.3652166018121833
ETTm2,masked_dot,HULL,3.1855173656140994,0.38045202247273374,0.37465730756126087,1.5231131835784029
ETTm2,masked_dot,MUFL,0.8547339775482545,0.11360935364062236,0.11208739236496026,1.339644339916302
ETTm2,masked_dot,MULL,0.4094227466495986,0.5516064124147011,0.5505321267483738,0.19475583353436884
ETTm2,masked_dot,LUFL,1.1481271319953734,0.39584085801268876,0.39185461937191135,1.0070306185142786
ETTm2,masked_dot,LULL,0.033398890435787844,0.016822834228663118,0.01682219809287171,0.003781382986725324
ETTm2,masked_dot,OT,2.8886959249299218,0.26017937803274205,0.2596813880472782,0.19140255820012936
ETTm2,cosine,HUFL,2.9721551039548673,0.36754791035213324,0.3656352065735648,0.5203957701013621
ETTm2,cosine,HULL,2.85441759465347,0.38045202247273374,0.3773553871234028,0.8139358359050114
ETTm2,cosine,MUFL,2.2746855231311787,0.11360935364062236,0.11155152902651728,1.8113161884667854
ETTm2,cosine,MULL,0.1545119197258839,0.5516064124147011,0.551580607633465,0.0046781148034858765
ETTm2,cosine,LUFL,1.8239306251219645,0.39584085801268876,0.391768035629097,1.028903990366045
ETTm2,cosine,LULL,-0.392135408248389,0.016822834228663118,0.01680735551642619,0.09201013352765201
ETTm2,cosine,OT,-1.7679414614556683,0.26017937803274205,0.25696463317264323,1.2355878795644828
ETTm2,masked_cosine,HUFL,1.7637955716414122,0.36754791035213324,0.3656510260170106,0.5160917207515365
ETTm2,masked_cosine,HULL,2.01812475810388,0.38045202247273374,0.3769727140495728,0.9145196286636432
ETTm2,masked_cosine,MUFL,1.4699974291919646,0.11360935364062236,0.11156885034378776,1.7960698053870379
ETTm2,masked_cosine,MULL,0.15915495471035435,0.5516064124147011,0.5515554507205335,0.009238778415308738
ETTm2,masked_cosine,LUFL,1.3577161767843198,0.39584085801268876,0.39171361270838784,1.0426526773970917
ETTm2,masked_cosine,LULL,-0.26997408400924944,0.016822834228663118,0.01680917860312106,0.08117315641611805
ETTm2,masked_cosine,OT,-1.3915924292811297,0.26017937803274205,0.2567232654521394,1.3283576149404512
