model,dataset,horizon,n_seeds,seeds,quality,diverged_seeds,test_mse_mean,test_mse_std,mse_rank,test_mae_mean,test_mae_std,mae_rank
TimeRole,ETTm1,336,3,2021;2022;2023,valid,,0.36836756269137066,0.0019007505846996354,1,0.3947267134984334,0.001096613177194565,2
DLinear,ETTm1,720,3,2021;2022;2023,valid,,0.4259873827298482,0.002297150236005824,1,0.42244552572568256,0.003455524406918255,1
PatchTST,ETTm1,720,3,2021;2022;2023,valid,,0.4505937993526459,0.020065845809865444,6,0.4515068630377452,0.015846032164860382,6
iTransformer,ETTm1,720,3,2021;2022;2023,valid,,0.43985381722450256,0.004894750120059862,4,0.4370766878128052,0.002525090577525553,3
TimeMixer,ETTm1,720,3,2021;2022;2023,numerically_unstable,2023,,,,,,
TimesNet,ETTm1,720,3,2021;2022;2023,valid,,0.4778761068979899,0.004442722397907637,7,0.45924996336301166,0.004323049262822897,7
SMamba,ETTm1,720,3,2021;2022;2023,valid,,0.4357406596342723,0.0008717807398349559,3,0.43743478258450824,0.0006182919127514331,4
MSGNet,ETTm1,720,3,2021;2022;2023,valid,,0.44378750522931415,0.011052245136759332,5,0.4475208520889282,0.006829783616002714,5
TimeRole,ETTm1,720,3,2021;2022;2023,valid,,0.4286150336265564,0.004423856990107201,2,0.42860392729441327,0.0022167692909846833,2
DLinear,ETTm2,96,3,2021;2022;2023,valid,,0.16702620685100555,0.0016176324454138472,1,0.2619001666704814,0.002829688055397265,1
PatchTST,ETTm2,96,3,2021;2022;2023,valid,,0.1818774938583374,0.0014090161900296657,6,0.2716328004995982,0.0012429626792136333,6
iTransformer,ETTm2,96,3,2021;2022;2023,valid,,0.17456823090712228,0.004326438204474229,3,0.2654923001925151,0.002874605278591428,4
TimeMixer,ETTm2,96,3,2021;2022;2023,valid,,0.17283083001772562,0.0017763577492207255,2,0.2619006236394246,0.002121498767547428,2
TimesNet,ETTm2,96,3,2021;2022;2023,valid,,0.19735972583293915,0.0023693357078276656,8,0.2786804139614105,0.0016340664232326351,8
