dataset,n,adaptive_entropy_mean,adaptive_entropy_std,static_entropy_mean,static_entropy_std,mean_self_mass_mean,mean_self_mass_std,min_self_mass_mean,min_self_mass_std,max_self_mass_mean,max_self_mass_std,mean_max_offdiag_mean,mean_max_offdiag_std,top1_self_fraction_mean,top1_self_fraction_std,embedding_norm_mean_mean,embedding_norm_mean_std,best_mse_mean,best_mse_std,test_mse_mean,test_mse_std
ETTh1,12,0.19028754640268308,0.12522873282312982,1.041880834480244,0.0,0.9421206382526602,0.045223850854417026,0.7569679366058469,0.18577841159647301,0.9998423424801194,0.0002313158512637499,0.03865326418251488,0.024133401400944086,1.0,0.0,3.097761676519923,0.2901984981318236,1.1420755582305062,0.3293531384303313,0.4386112267772357,0.04428862637002496
ETTh2,12,0.19745914272880238,0.130618750915743,1.0610322116816562,0.0,0.9382606459686365,0.05681093339758611,0.7775535736107759,0.2030924301865548,0.9998725234737474,0.00019030448272507752,0.04305022673401402,0.03666498215761667,0.9761904761904763,0.0789672569132238,3.1008238523287743,0.2902139672210526,0.3659346604486808,0.15017898541230176,0.38234956314166385,0.05569509263355945
ETTm1,12,0.37414069772928626,0.1535678581521427,1.0431651991241402,0.0,0.6649890500980914,0.0852665401493706,0.08813817849335925,0.07842676843320714,0.9999613425400203,7.426206975541529e-05,0.2805983345853516,0.09051507618713611,0.6666666666666666,0.10647942749999,3.1232904974432323,0.32030348408016013,0.6342889257562092,0.21444186057754477,0.3877989451090495,0.045620283563683854
ETTm2,12,0.2428759148791871,0.16861654532910303,1.0612820125760627,0.0,0.8790210588636658,0.08521011644551667,0.48370076560772707,0.3040012085476117,0.9998948053195432,0.00021524517799438727,0.09477305256388142,0.0690131105483983,0.9047619047619048,0.08908708063747481,3.092676084812446,0.2829323940789275,0.2046684820314618,0.06183732289238381,0.2904817648231983,0.0906157234611191
