dataset,horizon,learning_rate,validation_best_epoch,validation_epochs_ran,validation_mse,validation_mae,test_mse,test_mae,status
ETTm2,96,0.0001,1,4,0.12202127609996233,0.24033593666408165,0.1708703637123108,0.2605491578578949,stable_repair
ETTm2,192,0.0001,2,5,0.16362010497198343,0.27753441990845135,0.23262719810009003,0.3028316795825958,stable_repair
ETTm2,336,0.0001,1,4,0.2078662798500463,0.3110807691986048,0.28434112668037415,0.33843499422073364,stable_repair
ETTm2,720,0.0001,2,5,0.26912240839227985,0.35474131919759966,0.35973840951919556,0.3862096965312958,stable_consistency
weather,96,0.0001,15,18,0.3810520952960555,0.269904785062645,0.14783917367458344,0.1977566033601761,stable_repair
weather,192,0.0001,8,11,0.4498163969445216,0.3194759582069937,0.1949436068534851,0.2432173639535904,stable_repair
weather,336,0.0001,6,9,0.5189284960886795,0.3673547830537779,0.2414870411157608,0.2814638018608093,stable_consistency
weather,720,0.0001,11,14,0.6301258883897508,0.432296548179186,0.3186895549297333,0.33196666836738586,stable_repair
