dataset,pred_len,recent_len,old_len,pool,memory_tokens,base_mse,base_mae,corrected_mse,corrected_mae,mse_improvement_pct,mae_improvement_pct,fit_split,evaluation_split,test_accessed,checkpoint
ETTm1,720,96,240,16,15,0.9635514041197868,0.6564324688208617,1.8344722298686702,0.9477734145950992,-90.38654523517381,-44.382470339647924,train,val,False,/home/cwh/Time-Series-Library/checkpoints/long_term_forecast_ETTm1_96_720_ettm1_p720_s2021_baseline_frozen_GraphMamba_ETTm1_ftM_sl96_ll48_pl720_dm64_nh8_el1_dl1_df128_expand2_dc2_fc1_ebtimeF_dtTrue_ettm1_p720_s2021_baseline_frozen_0_patch4_st2_ds32_mv1_bi1_ga0.5_gk2/checkpoint.pth
ETTm2,720,96,240,16,15,0.2960342688716635,0.3739444275040028,2.947518872260505,1.0391987055137457,-895.6681310900228,-177.9019097704356,train,val,False,/home/cwh/Time-Series-Library/checkpoints/long_term_forecast_ETTm2_96_720_ettm2_p720_s2021_baseline_frozen_GraphMamba_ETTm2_ftM_sl96_ll48_pl720_dm64_nh8_el1_dl1_df128_expand2_dc2_fc1_ebtimeF_dtTrue_ettm2_p720_s2021_baseline_frozen_0_patch4_st2_ds32_mv1_bi1_ga0.5_gk2/checkpoint.pth
