dataset,quarter,horizon_start,horizon_end,baseline_mse,tirge_mse,mse_improvement_pct
ETTm1,1,1,180,0.511811778412387,0.5193480956107734,-1.47247826569441
ETTm1,2,181,360,0.8702595217968776,0.8855221045553267,-1.7537966981315494
ETTm1,3,361,540,1.12863815818237,1.1397680445669438,-0.9861341568052402
ETTm1,4,541,720,1.3434961631822744,1.365181615369333,-1.6141060005481043
ETTm2,1,1,180,0.16530510356838377,0.16399077755840738,0.7950910054223899
ETTm2,2,181,360,0.29405306509679574,0.2898426248828578,1.4318640795503959
ETTm2,3,361,540,0.3451854577740749,0.34135015437673505,1.1110848707450647
ETTm2,4,541,720,0.3795934435220945,0.3723908586931343,1.897447111343734
