dataset,graph_alpha,base_mse,direct_mse,direct_improvement_pct,corrected_mse,corrected_improvement_pct,correction
ETTm1,0.0,0.9613812545765902,0.9632802794085513,-0.19753087788231352,0.9608585457205809,0.05437061036097036,"[0.2221443004102637, 0.19838692684933576, -0.03908565434837486, 0.23542624702290393, 0.5803089524922135, -1.632930117389492, -1.576162396874154]"
ETTm1,0.25,0.9613812545765902,0.9615697418081005,-0.019605877544735265,0.9608408374218771,0.05621257457855266,"[0.4136580043490264, 0.6458028343387616, -0.06663933753802394, 0.5976539281889969, 0.6006830590831918, -3.2735906077815367, -3.5524048882616706]"
ETTm1,0.5,0.9613812545765902,0.9613812545765902,0.0,0.9613812545765902,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
ETTm1,0.75,0.9613812545765902,0.9623580950068407,-0.10160801717323883,0.9607482145752422,0.06584692579915226,"[-0.33075495389416926, -1.0437948619428397, -0.018664108257672948, -1.0784430462900667, 0.4998459449547413, 3.3844829552734255, 3.7512688151939977]"
ETTm1,1.0,0.9613812545765902,0.9646200850279716,-0.33689344741882266,0.9605775557562385,0.08359834524812515,"[-0.15950416133924517, -0.6741559955852546, -0.05598836787334275, -0.6975193299679374, 0.607761005424078, 1.7510017724216078, 1.7295424333822307]"
ETTm2,0.0,0.29800839559346914,0.29891218403685427,-0.3032761683056856,0.296782291949055,0.41143258463320864,"[-0.19411383694878231, 1.3238853777413135, -1.5894543733275945, 1.5756996764792146, -1.6615159793492527, 0.6241811672584212, 1.3758122626435683]"
ETTm2,0.25,0.29800839559346914,0.2983487393397478,-0.11420609328837625,0.29681064620748393,0.4019180008670409,"[-0.49851187376174033, 1.0880283560111519, -3.131349768785255, 3.218143405737242, -3.4436838184215754, 1.2690671698476046, 2.7173282572536075]"
ETTm2,0.5,0.29800839559346914,0.29800839559346914,0.0,0.29800839559346914,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
ETTm2,0.75,0.29800839559346914,0.2978661844981375,0.047720499635061704,0.2968255268837371,0.39692462602485723,"[0.7582006597567523, 1.8220076330838468, 3.0075202812817703, -3.4006116613310806, 3.730547616195516, -1.298944550840964, -2.58249920955036]"
ETTm2,1.0,0.29800839559346914,0.2979086074368771,0.03348501521017183,0.29681500231848584,0.40045625983345756,"[0.45105976834676076, 1.5311616634386773, 1.4702432530567318, -1.7593852688339047, 1.9430370676231132, -0.6529219408109245, -1.2312381383407862]"
